,Name,Address,Latitude,Longitude
0,Mad Eliza's Cakes & Confections,Topeka,39.0016264,-95.7820887
1,Mad Eliza's Cakes & Confections,Topeka,39.0016264,-95.7820887
2,Sam's Club Bakery,"1401 Southwest Wanamaker Road, Topeka",39.0414988,-95.76462509999999
3,Cold Stone Creamery,"1227 Southwest Wanamaker Road Ste 100, Topeka",39.0449945,-95.763936
4,Smallcakes Topeka,"1223 Southwest Wanamaker Road #300, Topeka",39.0449889,-95.7623443
5,Panera Bread,"1421 Southwest Wanamaker Road, Topeka",39.04092299999999,-95.76226299999999
6,Walmart Bakery,"1501 Southwest Wanamaker Road, Topeka",39.03981880000001,-95.7645465
7,Sam's Club Bakery,"1401 Southwest Wanamaker Road, Topeka",39.0414988,-95.76462509999999
8,Perkins Restaurant & Bakery,"1720 Southwest Wanamaker Road, Topeka",39.0351831,-95.7615392
9,Bakers Dozen 17th,"5938 Southwest 17th Street #400, Topeka",39.0369924,-95.7601425
10,Cookies by Gayla,"1801 Southwest Wanamaker Road, Topeka",39.0324592,-95.7657713
11,Cookie Boutique,Topeka,39.0320586,-95.76627909999999
12,Cold Stone Creamery,"1227 Southwest Wanamaker Road Ste 100, Topeka",39.0449945,-95.763936
13,Cookie Boutique,Topeka,39.0320586,-95.76627909999999
14,Cookies by Gayla,"1801 Southwest Wanamaker Road, Topeka",39.0324592,-95.7657713
15,Smallcakes Topeka,"1223 Southwest Wanamaker Road #300, Topeka",39.0449889,-95.7623443
16,Cold Stone Creamery,"1227 Southwest Wanamaker Road Ste 100, Topeka",39.0449945,-95.763936
17,Panera Bread,"1421 Southwest Wanamaker Road, Topeka",39.04092299999999,-95.76226299999999
18,Walmart Bakery,"1501 Southwest Wanamaker Road, Topeka",39.03981880000001,-95.7645465
19,Sam's Club Bakery,"1401 Southwest Wanamaker Road, Topeka",39.0414988,-95.76462509999999
20,Perkins Restaurant & Bakery,"1720 Southwest Wanamaker Road, Topeka",39.0351831,-95.7615392
21,Bakers Dozen 17th,"5938 Southwest 17th Street #400, Topeka",39.0369924,-95.7601425
22,Kan You Say Oh Yum,"5745 Southwest 69th Street, Auburn",38.9419555,-95.7570257
23,Kan You Say Oh Yum,"5745 Southwest 69th Street, Auburn",38.9419555,-95.7570257
24,Le Petit Bon Bon,"835 Southwest Fairlawn Road, Topeka",39.05325430000001,-95.74371049999999
25,Le Petit Bon Bon,"835 Southwest Fairlawn Road, Topeka",39.05325430000001,-95.74371049999999
26,Dillons Bakery,"5315 Southwest 22nd Place, Topeka",39.0265135,-95.74512059999999
27,Pizagel's Pizza & Bakery,"2830 Southwest Fairlawn Road, Topeka",39.0152339,-95.7434052
28,Pizagel's Pizza & Bakery,"2830 Southwest Fairlawn Road, Topeka",39.0152339,-95.7434052
29,Baskin-Robbins,"4400 Southwest 21st Street, Topeka",39.0300252,-95.7306572
30,Daylight Donuts,"4201 Southwest 21st Street, Topeka",39.0291405,-95.7280502
31,Dillons Bakery,"5315 Southwest 22nd Place, Topeka",39.0265135,-95.74512059999999
32,Pizagel's Pizza & Bakery,"2830 Southwest Fairlawn Road, Topeka",39.0152339,-95.7434052
33,Dillons Bakery,"4015 Southwest 10th Avenue, Topeka",39.0506936,-95.72750359999999
34,Baking Traditions,"4036 Southwest Huntoon Street, Topeka",39.044173,-95.72679409999999
35,Baking Traditions,"4036 Southwest Huntoon Street, Topeka",39.044173,-95.72679409999999
36,Baskin-Robbins,"4400 Southwest 21st Street, Topeka",39.0300252,-95.7306572
37,Schlotzsky's,"2019 Southwest Gage Boulevard, Topeka",39.0305526,-95.7259309
38,Dunkin',"4009 Southwest 21st Street, Topeka",39.0291848,-95.7269628
39,Daylight Donuts,"4201 Southwest 21st Street, Topeka",39.0291405,-95.7280502
40,Baker's Dozen 6th Street,"2601 Southwest 6th Avenue, Topeka",39.0583399,-95.70738519999999
41,Walmart Bakery,"335 Southwest Macvicar Avenue, Topeka",39.0599126,-95.70834909999999
42,Josey Baking Co.,"3119 Southwest Huntoon Street, Topeka",39.04379429999999,-95.7162539
43,Josey Baking Co.,"3119 Southwest Huntoon Street, Topeka",39.04379429999999,-95.7162539
44,Baker's Dozen 6th Street,"2601 Southwest 6th Avenue, Topeka",39.0583399,-95.70738519999999
45,Walmart Bakery,"335 Southwest Macvicar Avenue, Topeka",39.0599126,-95.70834909999999
46,Simply Sarah's Catering,"1518 Southwest 41st Street, Topeka",38.99571299999999,-95.698132
47,Paradise Donuts,"1620 Southwest 6th Avenue, Topeka",39.0579312,-95.69538779999999
48,Roxie's Donut Dive & Coffee,"1440 Southwest Huntoon Street, Topeka",39.0447563,-95.6962909
49,Roxie's Donut Dive & Coffee,"1440 Southwest Huntoon Street, Topeka",39.0447563,-95.6962909
50,Bimbo Baking Co,"4100 Southwest Martin Drive # 1, Topeka",38.9945371,-95.6965266
51,Walmart Bakery,"1301 Southwest 37th Street, Topeka",38.9988477,-95.69435460000001
52,Simply Sarah's Catering,"1518 Southwest 41st Street, Topeka",38.99571299999999,-95.698132
53,Bimbo Baking Co,"4100 Southwest Martin Drive # 1, Topeka",38.9945371,-95.6965266
54,Paradise Donuts,"1620 Southwest 6th Avenue, Topeka",39.0579312,-95.69538779999999
55,Schlotzsky's,"400 Southwest 29th Street Z, Topeka",39.0161677,-95.68697829999999
56,Scooter's Coffee,"2909 Southwest Topeka Boulevard, Topeka",39.0137953,-95.68805859999999
57,Scooter's Coffee,"2909 Southwest Topeka Boulevard, Topeka",39.0137953,-95.68805859999999
58,Walmart Bakery,"1301 Southwest 37th Street, Topeka",38.9988477,-95.69435460000001
59,Walmart Bakery,"2600 Northwest Rochester Road, Topeka",39.0936964,-95.6717619
60,Walmart Bakery,"2600 Northwest Rochester Road, Topeka",39.0936964,-95.6717619
61,Shana Cake,"435 South Kansas Avenue, Topeka",39.053377,-95.672933
62,Daylight Donuts,"1001 Southeast Quincy Street, Topeka",39.0454427,-95.67469539999999
63,Shana Cake,"435 South Kansas Avenue, Topeka",39.053377,-95.672933
64,Daylight Donuts,"1001 Southeast Quincy Street, Topeka",39.0454427,-95.67469539999999
65,Walmart Bakery,"2600 Northwest Rochester Road, Topeka",39.0936964,-95.6717619
66,El Torito Topeka,"3000 Northwest Topeka Boulevard, Topeka",39.100584,-95.6630364
67,Walmart Bakery,"2600 Northwest Rochester Road, Topeka",39.0936964,-95.6717619
68,Paradise Donuts North,"2037 Northwest Topeka Boulevard, Topeka",39.0871094,-95.66543349999999
69,Baker's Dozen Donuts North,"1949 Northwest Topeka Boulevard, Topeka",39.08469259999999,-95.6660319
70,Baker's Dozen Donuts North,"1949 Northwest Topeka Boulevard, Topeka",39.08469259999999,-95.6660319
71,Shana Cake,"435 South Kansas Avenue, Topeka",39.053377,-95.672933
72,Shana Cake,"435 South Kansas Avenue, Topeka",39.053377,-95.672933
73,Daylight Donuts,"1001 Southeast Quincy Street, Topeka",39.0454427,-95.67469539999999
74,El Torito Topeka,"3000 Northwest Topeka Boulevard, Topeka",39.100584,-95.6630364
75,Paradise Donuts North,"2037 Northwest Topeka Boulevard, Topeka",39.0871094,-95.66543349999999
76,Panderia Reynosa Bakery,"1200 Northeast Seward Avenue, Topeka",39.0590428,-95.65426769999999
77,Baskin-Robbins,"2837 Southeast California Avenue, Topeka",39.015386,-95.6521262
78,Walmart Bakery,"2630 Southeast California Avenue, Topeka",39.0205912,-95.6485077
79,Panderia Reynosa Bakery,"1200 Northeast Seward Avenue, Topeka",39.0590428,-95.65426769999999
80,Marlene Bakery,"1925 Northeast Seward Avenue, Topeka",39.0586319,-95.64494909999999
81,Baskin-Robbins,"2837 Southeast California Avenue, Topeka",39.015386,-95.6521262
82,Walmart Bakery,"2630 Southeast California Avenue, Topeka",39.0205912,-95.6485077
83,Marlene Bakery,"1925 Northeast Seward Avenue, Topeka",39.0586319,-95.64494909999999
84,Panaderia Monterrey,"3154 Southeast 6th Avenue, Topeka",39.0456019,-95.6352172
85,Panaderia Monterrey,"3154 Southeast 6th Avenue, Topeka",39.0456019,-95.6352172
