,Name,Address,Latitude,Longitude
0,Landmark National Bank,"1741 North Washington Street, Auburn",38.917373,-95.8161805
1,Silver Lake Bank,"2100 Southwest Urish Road, Topeka",39.028453,-95.780473
2,Silver Lake Bank,"2100 Southwest Urish Road, Topeka",39.028453,-95.780473
3,Landmark National Bank,"6010 Southwest 6th Avenue, Topeka",39.05816299999999,-95.762385
4,Federal Home Loan Bank-Topeka,"500 Southwest Wanamaker Road, Topeka",39.05870120000001,-95.7609106
5,Central National Bank,"1501 Southwest Wanamaker Road, Topeka",39.0399517,-95.76391339999999
6,CoreFirst Bank & Trust ATM,"2129 Southwest Wanamaker Road, Topeka",39.027857,-95.76281449999999
7,Fidelity State Bank & Trust Co,"5926 Southwest 21st Street, Topeka",39.0295972,-95.7603072
8,CoreFirst Bank & Trust,"2129 Southwest Wanamaker Road, Topeka",39.02775,-95.7628048
9,Landmark National Bank,"6100 Southwest 21st Street, Topeka",39.0297254,-95.7646843
10,Devlin's Liquor Store,"2850 Southwest Wanamaker Road, Topeka",39.0151385,-95.7617222
11,Central National Bank Smart ATM,"2820 Southwest Wanamaker Road, Topeka",39.0155373,-95.76203129999999
12,Heritage Bank,"3024 Southwest Wanamaker Road, Topeka",39.0126164,-95.761145
13,Sunflower Bank,"2641 Southwest Wanamaker Road #101, Topeka",39.0188195,-95.7628842
14,Capitol Federal® Savings Bank,"2865 Southwest Wanamaker Road, Topeka",39.0150635,-95.76299689999999
15,Alliance Bank,"3001 Southwest Wanamaker Road, Topeka",39.0129713,-95.76281689999999
16,VisionBank,"3031 Southwest Wanamaker Road, Topeka",39.012212,-95.7629824
17,Heritage Bank,"3024 Southwest Wanamaker Road, Topeka",39.0126164,-95.761145
18,VisionBank,"3031 Southwest Wanamaker Road, Topeka",39.012212,-95.7629824
19,Alliance Bank,"3001 Southwest Wanamaker Road, Topeka",39.0129713,-95.76281689999999
20,Capitol Federal® Savings Bank,"2865 Southwest Wanamaker Road, Topeka",39.0150635,-95.76299689999999
