,Name,Address,Latitude,Longitude
0,Hook's Service,United States,38.9137815,-95.81628649999999
1,Casey's,"6741 Southwest 21st Street, Topeka",39.0286447,-95.77957699999999
2,Casey's,"6741 Southwest 21st Street, Topeka",39.0286447,-95.77957699999999
3,BP,"1000 Southwest Wanamaker Road, Topeka",39.0505562,-95.7612714
4,Haag Express,"1001 Southwest Wanamaker Road, Topeka",39.0502721,-95.7623738
5,Street Corner,"1801 Southwest Wanamaker Road K1, Topeka",39.03338310000001,-95.76662089999999
6,Murphy USA,"1531 Southwest Wanamaker Road, Topeka",39.03850599999999,-95.76240089999999
7,Street Corner,"1801 Southwest Wanamaker Road K1, Topeka",39.03338310000001,-95.76662089999999
8,CVS,"2835 Southwest Wanamaker Road, Topeka",39.0153787,-95.7643581
9,Hy-Vee Gas,"6011 Southwest 29th Street, Topeka",39.014047,-95.763635
10,BP,"5977 Southwest 29th Street, Topeka",39.01426999999999,-95.761836
11,Hy-Vee Gas,"6011 Southwest 29th Street, Topeka",39.014047,-95.763635
12,CVS,"2835 Southwest Wanamaker Road, Topeka",39.0153787,-95.7643581
13,BP,"5977 Southwest 29th Street, Topeka",39.01426999999999,-95.761836
14,Walgreens,"3630 Southwest Wanamaker Road, Topeka",39.00058409999999,-95.7615537
15,BP,"1000 Southwest Wanamaker Road, Topeka",39.0505562,-95.7612714
16,Haag Express,"1001 Southwest Wanamaker Road, Topeka",39.0502721,-95.7623738
17,Murphy USA,"1531 Southwest Wanamaker Road, Topeka",39.03850599999999,-95.76240089999999
18,Kwik Shop,"5700 Southwest 21st Street, Topeka",39.0297769,-95.7509738
19,BP,"5977 Southwest 29th Street, Topeka",39.01426999999999,-95.761836
20,CVS,"2835 Southwest Wanamaker Road, Topeka",39.0153787,-95.7643581
21,Hy-Vee Gas,"6011 Southwest 29th Street, Topeka",39.014047,-95.763635
22,BP,"5977 Southwest 29th Street, Topeka",39.01426999999999,-95.761836
23,Walgreens,"3630 Southwest Wanamaker Road, Topeka",39.00058409999999,-95.7615537
24,Amoco,"600 Southwest Fairlawn Road, Topeka",39.0579059,-95.7428711
25,In A Pinch Convenience,"706 Southwest Fairlawn Road, Topeka",39.0563707,-95.74278009999999
26,FAIRLAWN EXPRESS,"706 Southwest Fairlawn Road, Topeka",39.05637649999999,-95.74271910000002
27,Walgreens,"2121 Southwest Fairlawn Road, Topeka",39.0282342,-95.7446758
28,Kwik Shop,"5700 Southwest 21st Street, Topeka",39.0297769,-95.7509738
29,Haag Oil Co,"2836 Southwest Fairlawn Road, Topeka",39.01508,-95.743308
30,Amoco,"2836 Southwest Fairlawn Road, Topeka",39.015139,-95.74333999999999
31,Haag Oil Co,"2836 Southwest Fairlawn Road, Topeka",39.01508,-95.743308
32,Amoco,"2836 Southwest Fairlawn Road, Topeka",39.015139,-95.74333999999999
33,Amoco,"600 Southwest Fairlawn Road, Topeka",39.0579059,-95.7428711
34,FAIRLAWN EXPRESS,"706 Southwest Fairlawn Road, Topeka",39.05637649999999,-95.74271910000002
35,In A Pinch Convenience,"706 Southwest Fairlawn Road, Topeka",39.0563707,-95.74278009999999
36,Walgreens,"2121 Southwest Fairlawn Road, Topeka",39.0282342,-95.7446758
37,Super Store,"4301 Southwest 21st Street #100, Topeka",39.0290487,-95.72897429999999
38,Haag Oil Co,"2836 Southwest Fairlawn Road, Topeka",39.01508,-95.743308
39,Amoco,"2836 Southwest Fairlawn Road, Topeka",39.015139,-95.74333999999999
40,BP,"3120 Southwest Gage Boulevard, Topeka",39.010496,-95.728436
41,Walgreens,"1001 Southwest Gage Boulevard, Topeka",39.05047279999999,-95.7257009
42,CVS,"3901 Southwest 21st Street, Topeka",39.02893220000001,-95.7257459
43,Super Store,"4301 Southwest 21st Street #100, Topeka",39.0290487,-95.72897429999999
44,Walgreens,"3900 Southwest 29th Street, Topeka",39.01532909999999,-95.7265116
45,Walgreens,"3900 Southwest 29th Street, Topeka",39.01532909999999,-95.7265116
46,BP,"3120 Southwest Gage Boulevard, Topeka",39.010496,-95.728436
47,Kwik Shop,"2619 Southwest 21st Street, Topeka",39.02930699999999,-95.71038999999999
48,CVS,"3901 Southwest 21st Street, Topeka",39.02893220000001,-95.7257459
49,Kwik Shop,"2520 Southwest 6th Avenue, Topeka",39.0590568,-95.7067048
50,Kwik Shop,"2619 Southwest 21st Street, Topeka",39.02930699999999,-95.71038999999999
51,Quick Stop,"1320 Southwest 6th Avenue, Topeka",39.05681080000001,-95.6913785
52,Kwik Shop,"1414 Southwest 17th Street, Topeka",39.0372647,-95.6962794
53,Washburn Auto Service Center,"2236 Southwest Washburn Avenue, Topeka",39.0279401,-95.6964553
54,Amoco,"931 Southwest 37th Street, Topeka",39.0003552,-95.69095589999999
55,TJ's Express,"5305 Southwest Topeka Boulevard, Topeka",38.97123179999999,-95.688408
56,Amoco,"5305 Southwest Topeka Boulevard, Topeka",38.971243,-95.68809010000001
57,Quick Stop,"1320 Southwest 6th Avenue, Topeka",39.05681080000001,-95.6913785
58,Walgreens,"1001 Southwest Topeka Boulevard, Topeka",39.0473094,-95.68243249999999
59,Kwik Shop,"1700 Southwest Topeka Boulevard, Topeka",39.03669509999999,-95.6824875
60,Walgreens,"3696 Southwest Topeka Boulevard, Topeka",39.0014531,-95.6871129
61,Walgreens,"3696 Southwest Topeka Boulevard, Topeka",39.0014531,-95.6871129
62,Larry's Short Stop,"3834 Southwest Topeka Boulevard, Topeka",38.9964773,-95.6873767
63,Amoco,"931 Southwest 37th Street, Topeka",39.0003552,-95.69095589999999
64,Kwik Shop,"102 Southeast 37th Street, Topeka",39.000868,-95.679752
65,Kwik Shop,"4500 Southwest Topeka Boulevard, Topeka",38.98485710000001,-95.6872004
66,Kwik Shop,"4500 Southwest Topeka Boulevard, Topeka",38.98485710000001,-95.6872004
67,Amoco,"5305 Southwest Topeka Boulevard, Topeka",38.971243,-95.68809010000001
68,TJ's Express,"5305 Southwest Topeka Boulevard, Topeka",38.97123179999999,-95.688408
69,John's Food Center,"5812 Southwest Topeka Boulevard, Topeka",38.9621023,-95.6867795
70,John's Food Center,"5812 Southwest Topeka Boulevard, Topeka",38.9621023,-95.6867795
71,Kwik Shop,"1114 Northwest Topeka Boulevard, Topeka",39.071843,-95.67053299999999
72,Topeka Quick Stop,"1020 Northwest Topeka Boulevard, Topeka",39.0717037,-95.6706282
73,Walgreens,"1001 Southwest Topeka Boulevard, Topeka",39.0473094,-95.68243249999999
74,Bwell Market,"600 Southeast Quincy Street, Topeka",39.05082489999999,-95.6715071
75,BP,"600 Southeast Quincy Street, Topeka",39.050977,-95.6715354
76,ATM (Downtown Bp Food Shop),"600 Southeast Quincy Street, Topeka",39.0508095,-95.67149479999999
77,Kwik Shop,"1700 Southwest Topeka Boulevard, Topeka",39.03669509999999,-95.6824875
78,Goose Express,"2901 Southeast Fremont Street, Topeka",39.0149291,-95.67522679999999
79,Amoco,"2901 Southeast Fremont Street, Topeka",39.0149055,-95.6752599
80,Amoco,"2901 Southeast Fremont Street, Topeka",39.0149055,-95.6752599
81,Goose Express,"2901 Southeast Fremont Street, Topeka",39.0149291,-95.67522679999999
82,Kwik Shop,"102 Southeast 37th Street, Topeka",39.000868,-95.679752
83,Top City Liquor,"517 Southeast 37th Street, Topeka",39.0003162,-95.67183829999999
84,BP,"3000 Northwest Topeka Boulevard, Topeka",39.0992482,-95.6643599
85,Walgreens,"2101 Northwest Topeka Boulevard, Topeka",39.0880433,-95.6655205
86,Dollar tree,"2050 Northwest Topeka Boulevard, Topeka",39.0869923,-95.66287709999999
87,Conoco Food & Tobacco,"2045 North Kansas Avenue, Topeka",39.0873101,-95.66046159999999
88,WOODYS GAS EXPRESS,"101 Northeast US 24 Highway, Topeka",39.0903591,-95.6594755
89,Kwik Shop,"1114 Northwest Topeka Boulevard, Topeka",39.071843,-95.67053299999999
90,Topeka Quick Stop,"1020 Northwest Topeka Boulevard, Topeka",39.0717037,-95.6706282
91,Bwell Market,"600 Southeast Quincy Street, Topeka",39.05082489999999,-95.6715071
92,BP,"600 Southeast Quincy Street, Topeka",39.050977,-95.6715354
93,ATM (Downtown Bp Food Shop),"600 Southeast Quincy Street, Topeka",39.0508095,-95.67149479999999
94,Top City Liquor,"517 Southeast 37th Street, Topeka",39.0003162,-95.67183829999999
95,BP,"3000 Northwest Topeka Boulevard, Topeka",39.0992482,-95.6643599
96,Walgreens,"2101 Northwest Topeka Boulevard, Topeka",39.0880433,-95.6655205
97,WOODYS GAS EXPRESS,"101 Northeast US 24 Highway, Topeka",39.0903591,-95.6594755
98,Conoco Food & Tobacco,"2045 North Kansas Avenue, Topeka",39.0873101,-95.66046159999999
99,Dollar tree,"2050 Northwest Topeka Boulevard, Topeka",39.0869923,-95.66287709999999
100,Walgreens,"2901 Southeast California Avenue, Topeka",39.0147764,-95.65226299999999
101,BP,"2740 Southeast California Avenue, Topeka",39.017433,-95.6513203
102,Walgreens,"2901 Southeast California Avenue, Topeka",39.0147764,-95.65226299999999
103,ATM (Casey's General Store),"4441 Southeast California Avenue, Topeka",38.9868066,-95.65238959999999
104,Casey's,"4441 Southeast California Avenue, Topeka",38.9866041,-95.65215239999999
105,Kwik Shop,"746 Northeast Wabash Avenue, Topeka",39.0659882,-95.63949199999999
106,BP,"2518 Northeast Seward Avenue, Topeka",39.059071,-95.6391644
107,Oakland's One Stop Smoke Shop,"1919 Northeast Seward Avenue, Topeka",39.0585556,-95.64522
108,Walgreens,"2901 Southeast California Avenue, Topeka",39.0147764,-95.65226299999999
109,BP,"2740 Southeast California Avenue, Topeka",39.017433,-95.6513203
110,ATM (Casey's General Store),"4441 Southeast California Avenue, Topeka",38.9868066,-95.65238959999999
111,Casey's,"4441 Southeast California Avenue, Topeka",38.9866041,-95.65215239999999
112,Kwik Shop,"746 Northeast Wabash Avenue, Topeka",39.0659882,-95.63949199999999
113,BP,"2518 Northeast Seward Avenue, Topeka",39.059071,-95.6391644
