,Name,Address,Latitude,Longitude
0,Ball Custom Kitchens,"1431 Southwest Auburn Road, Topeka",39.040745,-95.8175856
1,Dollar General,"1420 North Washington Street, Auburn",38.9130918,-95.8174727
2,Greer House Antiques,"3015 Southwest Lagito Drive, Topeka",39.0111409,-95.8067635
3,Cambridge Kitchen & Bath,"2025 Southwest Urish Road Suite 110, Topeka",39.0295984,-95.7816304
4,Davis Electric Construction,"2850 Southwest Mission Woods Drive, Topeka",39.0153708,-95.7787484
5,Menards,"6401 Southwest 17th Street, Topeka",39.03508749999999,-95.77140039999999
6,Lowe's Home Improvement,"1621 Southwest Arvonia Place, Topeka",39.0375402,-95.7680397
7,Cambridge Kitchen & Bath,"2025 Southwest Urish Road Suite 110, Topeka",39.0295984,-95.7816304
8,Davis Electric Construction,"2850 Southwest Mission Woods Drive, Topeka",39.0153708,-95.7787484
9,Wild Bird House,"2901 Southwest 29th Street, Topeka",39.0142492,-95.7759416
10,Davis Electric Construction,"2850 Southwest Mission Woods Drive, Topeka",39.0153708,-95.7787484
11,Wild Bird House,"2901 Southwest 29th Street, Topeka",39.0142492,-95.7759416
12,Sarre Side Studios,"Gewerbegebiet BAB1 Am Schaumberg, 66636 Theley",39.05785180000001,-95.764922
13,JOANN Fabrics and Crafts,"1133 Southwest Wanamaker Road Ste 200, Topeka",39.04617390000001,-95.7640526
14,Sleep Number,"1191 Southwest Wanamaker Road Suite A, Topeka",39.0461251,-95.76215479999999
15,Factory Direct Appliance,"1040 Southwest Wanamaker Road, Topeka",39.04914249999999,-95.7606364
16,Best Buy,"1600 Southwest Wanamaker Road, Topeka",39.0376265,-95.76087419999999
17,Menards,"6401 Southwest 17th Street, Topeka",39.03508749999999,-95.77140039999999
18,JCPenney,"1821 Southwest Wanamaker Road, Topeka",39.0328446,-95.76570389999999
19,Walmart Supercenter,"1501 Southwest Wanamaker Road, Topeka",39.0398354,-95.7646231
20,Dillard's,"1791 Southwest Wanamaker Road, Topeka",39.0336937,-95.7643793
21,Walmart Photo Center,"1501 Southwest Wanamaker Road, Topeka",39.03981880000001,-95.7645465
22,Bath & Body Works,"1801 Southwest Wanamaker Road, Topeka",39.03339729999999,-95.76674960000001
23,Lowe's Home Improvement,"1621 Southwest Arvonia Place, Topeka",39.0375402,-95.7680397
24,Hot Topic,"1801 Southwest Wanamaker Road STE G20, Topeka",39.03265529999999,-95.7663738
25,Hobby Lobby,"1900 Southwest Wanamaker Road, Topeka",39.0337954,-95.7597564
26,"The Mattress Hub Topeka, KS","1580 Southwest Wanamaker Road, Topeka",39.0379458,-95.76054549999999
27,Mattress Headquarters,"1901 Southwest Wanamaker Road suite e, Topeka",39.03123860000001,-95.76620799999999
28,Mattress Firm Clearance,"1540 Southwest Wanamaker Road, Topeka",39.0388234,-95.7612401
29,Bed Bath & Beyond,"1900 Southwest Wanamaker Road, Topeka",39.0333652,-95.76070639999999
30,Spectrum Paint,"1550 Southwest Wanamaker Road #100c, Topeka",39.0390034,-95.7603749
31,Kirkland's,"1801 SW Wanamaker Rd Suite C06b, Topeka",39.03203389999999,-95.7660808
32,RoomMakers,"1901 Southwest Wanamaker Road, Topeka",39.0313365,-95.7662103
33,Slumberland Furniture - Topeka,"1800 Southwest Wanamaker Road, Topeka",39.0345374,-95.7591509
34,Discovery Furniture,"1901 Southwest Wanamaker Road, Topeka",39.03136579999999,-95.7658163
35,Furniture Mall of Kansas,"1901 Southwest Wanamaker Road, Topeka",39.0312123,-95.7661756
36,JCPenney,"1821 Southwest Wanamaker Road, Topeka",39.0328446,-95.76570389999999
37,Target,"2120 Southwest Wanamaker Road, Topeka",39.0283633,-95.75899020000001
38,Tuesday Morning - Closing Sale In Progress,"1930 Southwest Wanamaker Road Suite A1, Topeka",39.03145409999999,-95.7607299
39,Dillard's,"1791 Southwest Wanamaker Road, Topeka",39.0336937,-95.7643793
40,Pier 1,"1930 Southwest Wanamaker Road, Topeka",39.030175,-95.76083510000001
41,Bath & Body Works,"1801 Southwest Wanamaker Road, Topeka",39.03339729999999,-95.76674960000001
42,Hot Topic,"1801 Southwest Wanamaker Road STE G20, Topeka",39.03265529999999,-95.7663738
43,Sherwin-Williams Paint Store,"5930 Southwest 19th Terrace ste b, Topeka",39.032291,-95.760848
44,Mattress Headquarters,"1901 Southwest Wanamaker Road suite e, Topeka",39.03123860000001,-95.76620799999999
45,Carpet Plus Design Center,"1930 Southwest Wanamaker Road e, Topeka",39.0302588,-95.7609578
46,Vintage Stock,"1930 Southwest Wanamaker Road, Topeka",39.03122400000001,-95.760716
47,Dollar Tree,"2180 Southwest Wanamaker Road, Topeka",39.0267477,-95.7605861
48,RoomMakers,"1901 Southwest Wanamaker Road, Topeka",39.0313365,-95.7662103
49,Bed Bath & Beyond,"1900 Southwest Wanamaker Road, Topeka",39.0333652,-95.76070639999999
50,Furniture Mall of Kansas,"1901 Southwest Wanamaker Road, Topeka",39.0312123,-95.7661756
