,Name,Address,Latitude,Longitude
0,Breakers,"8249 Southwest 10th Avenue, Topeka",39.0495123,-95.8144129
1,Breakers,"8249 Southwest 10th Avenue, Topeka",39.0495123,-95.8144129
2,Oriental Pearl,"2025 Southwest Urish Road, Topeka",39.0294912,-95.7815736
3,Red Robin Gourmet Burgers and Brews,"6230 Southwest 6th Avenue, Topeka",39.0584071,-95.7677571
4,Oriental Pearl,"2025 Southwest Urish Road, Topeka",39.0294912,-95.7815736
5,Red Robin Gourmet Burgers and Brews,"6230 Southwest 6th Avenue, Topeka",39.0584071,-95.7677571
6,Jason's Deli,"6121 Southwest 12th Street Ste 400, Topeka",39.0448692,-95.7649993
7,Hooters,"6100 Southwest 10th Avenue, Topeka",39.0512823,-95.7633761
8,Pie Five Pizza,"1129 Southwest Wanamaker Road, Topeka",39.0469581,-95.7622057
9,McAlister's Deli,"1129 Southwest Wanamaker Road B, Topeka",39.04681100000001,-95.76214399999999
10,Five Guys,"1191 Southwest Wanamaker Road, Topeka",39.04605249999999,-95.76209399999999
11,Jimmy John's,"1025 Southwest Wanamaker Road, Topeka",39.04898010000001,-95.7622827
12,Old Chicago,"1231 Southwest Wanamaker Road, Topeka",39.0443815,-95.76365659999999
13,Buffalo Wild Wings,"1227 Southwest Wanamaker Road #400, Topeka",39.0449945,-95.763936
14,QDOBA Mexican Eats,"1025 Southwest Wanamaker Road Suite A, Topeka",39.0490453,-95.7622721
15,On The Border Mexican Grill & Cantina,"1235 Southwest Wanamaker Road, Topeka",39.0443709,-95.7623301
16,Burger King,"6002 Southwest 10th Street, Topeka",39.05134869999999,-95.7623516
17,Freddy's Frozen Custard & Steakburgers,"1050 Southwest Wanamaker Road, Topeka",39.0486456,-95.76091679999999
18,Spangles,"1130 Southwest Wanamaker Road, Topeka",39.046024,-95.761324
19,Culver's,"1035 Southwest Wanamaker Road, Topeka",39.048514,-95.762247
20,Fine Mexican Food,Topeka,39.0444521,-95.7623058
21,HuHot Mongolian Grill,"5900 Southwest Huntoon Street, Topeka",39.0454763,-95.75845509999999
22,Arby's,"5930 Southwest Huntoon Street, Topeka",39.0440507,-95.76020749999999
23,Cheap Pro Car,"5900 Southwest Huntoon Street, Topeka",39.0454763,-95.75845509999999
24,Sam's Club Cafe,"1401 Southwest Wanamaker Road, Topeka",39.0414988,-95.76462509999999
25,Golden Corral Buffet & Grill,"1601 Southwest Wanamaker Road, Topeka",39.0375,-95.76249999999999
26,Denny's,"1500 Southwest Wanamaker Road, Topeka",39.0400728,-95.7611167
27,Juli's Coffee & Bistro,"1801 Southwest Wanamaker Road, Topeka",39.0326505,-95.7663662
28,Jason's Deli,"6121 Southwest 12th Street Ste 400, Topeka",39.0448692,-95.7649993
29,Cracker Barrel Old Country Store,"1421 S West, Southwest Ashworth Place, Topeka",39.04088899999999,-95.75842
30,Panera Bread,"1421 Southwest Wanamaker Road, Topeka",39.04092299999999,-95.76226299999999
31,Chick-fil-A,"1625 Southwest Wanamaker Road, Topeka",39.0371845,-95.7624929
32,Orange Leaf Frozen Yogurt,"1570 Southwest Wanamaker Road, Topeka",39.03821029999999,-95.7605612
33,Ling's Bistro,"1550 Southwest Wanamaker Road #100a, Topeka",39.0391415,-95.76056659999999
34,Applebee's Grill + Bar,"5928 Southwest 17th Street, Topeka",39.036829,-95.759485
35,Pizza Hut,"1700 Southwest Wanamaker Road Suite 150, Topeka",39.0360269,-95.7612978
36,Steak 'n Shake,"1415 Southwest Wanamaker Road, Topeka",39.0417537,-95.76231969999999
37,Taco Bell,"1560 Southwest Wanamaker Road, Topeka",39.0383811,-95.76130850000001
38,IHOP,"1731 Southwest Wanamaker Road, Topeka",39.034771,-95.76252699999999
39,McDonald's,"1640 Southwest Wanamaker Road, Topeka",39.03687159999999,-95.7611625
40,Jose Pepper's,"1425 Southwest Wanamaker Road, Topeka",39.0406801,-95.7622471
41,Old Chicago,"1231 Southwest Wanamaker Road, Topeka",39.0443815,-95.76365659999999
42,LongHorn Steakhouse,"1915 Southwest Wanamaker Road, Topeka",39.0323478,-95.7627144
43,Wendy's,"1820 Southwest Wanamaker Road, Topeka",39.0341252,-95.76162459999999
44,Chick-fil-A,"1801 SW Wanamaker Rd Ste VC3, Topeka",39.03308439999999,-95.7670059
45,Olive Garden Italian Restaurant,"1925 Southwest Wanamaker Road, Topeka",39.031297,-95.76282979999999
46,Chipotle Mexican Grill,"2040 Southwest Wanamaker Road #103, Topeka",39.0295192,-95.7611797
47,Cicis,"2130 Southwest Wanamaker Road Ste 110, Topeka",39.0278292,-95.7596894
48,Red Lobster,"2011 Southwest Wanamaker Road, Topeka",39.03036,-95.76274
49,Juli's Coffee & Bistro,"1801 Southwest Wanamaker Road, Topeka",39.0326505,-95.7663662
50,Chuck E. Cheese,"2215 Southwest Wanamaker Road, Topeka",39.0267771,-95.7628725
51,Monsoon Indian Grill,"2040 Southwest Wanamaker Road #104, Topeka",39.0294647,-95.7609035
52,Planet Sub,"2130 Southwest Wanamaker Road # 120 # 120, Topeka",39.02760019999999,-95.7596487
53,LongHorn Steakhouse,"1915 Southwest Wanamaker Road, Topeka",39.0323478,-95.7627144
54,Papa John's Pizza,"2121 Southwest Wanamaker Road Ste 117, Topeka",39.0282357,-95.76290589999999
55,Chili's Grill & Bar,"2021 Southwest Wanamaker Road, Topeka",39.02985090000001,-95.7629426
56,Hardee's,"2100 Southwest Wanamaker Road, Topeka",39.0286785,-95.7616973
57,Jersey Mike's Subs,"2121 Southwest Wanamaker Road Suite 115, Topeka",39.02828299999999,-95.762834
58,Chick-fil-A,"1801 SW Wanamaker Rd Ste VC3, Topeka",39.03308439999999,-95.7670059
59,Sonic Drive-In,"5922 Southwest 21st Street, Topeka",39.0296767,-95.7596461
60,Panda Express,"1920 S, Southwest Wanamaker Road Suite 160, Topeka",39.0324196,-95.7614852
61,Lean Kitchen Co- Topeka,"2121 Southwest Wanamaker Road #107, Topeka",39.0284931,-95.7629413
62,PepperJax Grill,"2121 Southwest Wanamaker Road #103, Topeka",39.0286104,-95.76280589999999
63,Noodles and Company,"2110 Southwest Wanamaker Road, Topeka",39.0281487,-95.7616453
64,Casa Martinez Grill,"1801 Southwest Wanamaker Road, Topeka",39.033251,-95.76700389999999
65,Subway,"6020 Southwest 29th Street, Topeka",39.0149997,-95.7642382
66,Glory Days Pizza,"2811 Southwest Wanamaker Road, Topeka",39.01616449999999,-95.7641857
67,Amigos Topeka West,"2919 Southwest Wanamaker Road, Topeka",39.01377000000001,-95.76472629999999
68,Blue Moose,"3030 Southwest Wanamaker Drive, Topeka",39.0123034,-95.76195349999999
69,Caribou Coffee,"2951 Southwest Wanamaker Road, Topeka",39.0125475,-95.7640287
70,Oriental Express,"5954 Southwest 29th Street, Topeka",39.01505,-95.760477
71,Domino's Pizza,"2940 Southwest Wanamaker Road, Topeka",39.01364649999999,-95.76152710000001
72,Papa Murphy's | Take 'N' Bake Pizza,"6021 Southwest 29th Street, Topeka",39.01415679999999,-95.7642779
73,McDonald's,"2933 Southwest Wanamaker Road, Topeka",39.01353599999999,-95.7627742
74,The Big Biscuit,"2815 Southwest Wanamaker Road, Topeka",39.01617349999999,-95.762886
75,Gyroville Topeka,"2855 Southwest Wanamaker Road #4698, Topeka",39.0158277,-95.7629738
76,El Dorado Mexican Grille,"2919 Southwest Wanamaker Road, Topeka",39.0138096,-95.7647035
77,Jeremiah Bullfrogs,"2940 Southwest Wanamaker Road STE 130, Topeka",39.01343919999999,-95.76155849999999
78,Subway,"6020 Southwest 29th Street, Topeka",39.0149997,-95.7642382
79,Blue Moose,"3030 Southwest Wanamaker Drive, Topeka",39.0123034,-95.76195349999999
80,Caribou Coffee,"2951 Southwest Wanamaker Road, Topeka",39.0125475,-95.7640287
81,Amigos Topeka West,"2919 Southwest Wanamaker Road, Topeka",39.01377000000001,-95.76472629999999
82,Domino's Pizza,"2940 Southwest Wanamaker Road, Topeka",39.01364649999999,-95.76152710000001
83,Papa Murphy's | Take 'N' Bake Pizza,"6021 Southwest 29th Street, Topeka",39.01415679999999,-95.7642779
84,McDonald's,"2933 Southwest Wanamaker Road, Topeka",39.01353599999999,-95.7627742
85,El Dorado Mexican Grille,"2919 Southwest Wanamaker Road, Topeka",39.0138096,-95.7647035
86,Jeremiah Bullfrogs,"2940 Southwest Wanamaker Road STE 130, Topeka",39.01343919999999,-95.76155849999999
87,Texas Roadhouse,"5901 Southwest Huntoon Street, Topeka",39.043023,-95.75904
88,Pie Five Pizza,"1129 Southwest Wanamaker Road, Topeka",39.0469581,-95.7622057
89,McAlister's Deli,"1129 Southwest Wanamaker Road B, Topeka",39.04681100000001,-95.76214399999999
90,Five Guys,"1191 Southwest Wanamaker Road, Topeka",39.04605249999999,-95.76209399999999
91,Jimmy John's,"1025 Southwest Wanamaker Road, Topeka",39.04898010000001,-95.7622827
92,Hooters,"6100 Southwest 10th Avenue, Topeka",39.0512823,-95.7633761
93,HuHot Mongolian Grill,"5900 Southwest Huntoon Street, Topeka",39.0454763,-95.75845509999999
94,QDOBA Mexican Eats,"1025 Southwest Wanamaker Road Suite A, Topeka",39.0490453,-95.7622721
95,On The Border Mexican Grill & Cantina,"1235 Southwest Wanamaker Road, Topeka",39.0443709,-95.7623301
96,Burger King,"6002 Southwest 10th Street, Topeka",39.05134869999999,-95.7623516
97,Freddy's Frozen Custard & Steakburgers,"1050 Southwest Wanamaker Road, Topeka",39.0486456,-95.76091679999999
98,Spangles,"1130 Southwest Wanamaker Road, Topeka",39.046024,-95.761324
99,Buffalo Wild Wings,"1227 Southwest Wanamaker Road #400, Topeka",39.0449945,-95.763936
100,Cheap Pro Car,"5900 Southwest Huntoon Street, Topeka",39.0454763,-95.75845509999999
101,Culver's,"1035 Southwest Wanamaker Road, Topeka",39.048514,-95.762247
102,Arby's,"5930 Southwest Huntoon Street, Topeka",39.0440507,-95.76020749999999
103,Old Chicago,"1231 Southwest Wanamaker Road, Topeka",39.0443815,-95.76365659999999
104,Fine Mexican Food,Topeka,39.0444521,-95.7623058
105,Mizu Sushi,"1320 Southwest Ashworth Place, Topeka",39.04232940000001,-95.7585158
106,Texas Roadhouse,"5901 Southwest Huntoon Street, Topeka",39.043023,-95.75904
107,Cracker Barrel Old Country Store,"1421 S West, Southwest Ashworth Place, Topeka",39.04088899999999,-95.75842
108,Golden Corral Buffet & Grill,"1601 Southwest Wanamaker Road, Topeka",39.0375,-95.76249999999999
109,Denny's,"1500 Southwest Wanamaker Road, Topeka",39.0400728,-95.7611167
110,Panera Bread,"1421 Southwest Wanamaker Road, Topeka",39.04092299999999,-95.76226299999999
111,Applebee's Grill + Bar,"5928 Southwest 17th Street, Topeka",39.036829,-95.759485
112,Orange Leaf Frozen Yogurt,"1570 Southwest Wanamaker Road, Topeka",39.03821029999999,-95.7605612
113,Ling's Bistro,"1550 Southwest Wanamaker Road #100a, Topeka",39.0391415,-95.76056659999999
114,Chick-fil-A,"1625 Southwest Wanamaker Road, Topeka",39.0371845,-95.7624929
115,AJ's NY Pizzeria,"1930 Southwest Westport Drive, Topeka",39.03177549999999,-95.75626349999999
116,Pizza Hut,"1700 Southwest Wanamaker Road Suite 150, Topeka",39.0360269,-95.7612978
