,Name,Address,Latitude,Longitude
0,"Dog Day Afternoon, Inc.","8235 1/2 SW 10th Ave, Topeka",39.0495524,-95.81292909999999
1,Frye's Auto Repair Inc,"1320 Southwest Auburn Road, Topeka",39.0426958,-95.8159045
2,Ball Custom Kitchens,"1431 Southwest Auburn Road, Topeka",39.040745,-95.8175856
3,Frye's Auto Repair Inc,"1320 Southwest Auburn Road, Topeka",39.0426958,-95.8159045
4,"Home Pet Care Veterinary Housecalls, Dr. Tom Schmar","4536 Southwest Auburn Road, Topeka",38.9846946,-95.8153924
5,"Home Pet Care Veterinary Housecalls, Dr. Tom Schmar","4536 Southwest Auburn Road, Topeka",38.9846946,-95.8153924
6,Dollar General,"1420 North Washington Street, Auburn",38.9130918,-95.8174727
7,Hook's Service,United States,38.9137815,-95.81628649999999
8,Auburn Feed Co,"8430 Southwest Auburn Road, Auburn",38.9127881,-95.8164992
9,"Dog Day Afternoon, Inc.","8235 1/2 SW 10th Ave, Topeka",39.0495524,-95.81292909999999
10,Thompson's Fireworks,"7934 Southwest 10th Avenue, Topeka",39.050827,-95.806418
11,Greer House Antiques,"3015 Southwest Lagito Drive, Topeka",39.0111409,-95.8067635
12,Cambridge Kitchen & Bath,"2025 Southwest Urish Road Suite 110, Topeka",39.0295984,-95.7816304
13,Electronic Life,"2025 Southwest Urish Road #106, Topeka",39.0295451,-95.78153139999999
14,K & K Liquor,"2025 Southwest Urish Road, Topeka",39.0297648,-95.781548
15,Casey's,"6741 Southwest 21st Street, Topeka",39.0286447,-95.77957699999999
16,Family Video,"6749 Southwest 29th Street, Topeka",39.014031,-95.780372
17,Redbox,"6829 Southwest 29th Street, Topeka",39.0136007,-95.78241150000001
18,Dillons Pharmacy,"6829 Southwest 29th Street, Topeka",39.01329399999999,-95.7826242
19,Jayhawk Pharmacy and Patient Supply,"2860 Southwest Mission Woods Drive, Topeka",39.01505150000001,-95.7786608
20,Dillons Food Store,"6829 Southwest 29th Street, Topeka",39.0136084,-95.7825597
21,Davis Electric Construction,"2850 Southwest Mission Woods Drive, Topeka",39.0153708,-95.7787484
22,"Robert Exon, RPh",Topeka,39.0150824,-95.7796541
23,Starbucks,"6829 Southwest 29th Street, Topeka",39.013577,-95.78265599999999
24,Jayhawk Custom Pharmacy,Topeka,39.0150022,-95.779467
25,Dillons Pharmacy,"6829 Southwest 29th Street, Topeka",39.01329399999999,-95.7826242
26,Adventist Book Center,"3440 Southwest Urish Road, Topeka",39.00576849999999,-95.78041510000001
27,Redbox,"6829 Southwest 29th Street, Topeka",39.0136007,-95.78241150000001
28,Dillons Food Store,"6829 Southwest 29th Street, Topeka",39.0136084,-95.7825597
29,Starbucks,"6829 Southwest 29th Street, Topeka",39.013577,-95.78265599999999
30,Karnex USA,"7021 Southwest Queens Court #4645, Topeka",39.0057963,-95.7863859
31,Nancy Goodall Designs,"6747 Southwest Sherwood Court, Topeka",39.0039044,-95.780796
32,Mad Eliza's Cakes & Confections,Topeka,39.0016264,-95.7820887
33,Nancy Goodall Designs,"6747 Southwest Sherwood Court, Topeka",39.0039044,-95.780796
34,Nomad Yarns,"6410 Southwest Murray Hill Road, Topeka",39.06505560000001,-95.774085
35,Nomad Yarns,"6410 Southwest Murray Hill Road, Topeka",39.06505560000001,-95.774085
36,Menards,"6401 Southwest 17th Street, Topeka",39.03508749999999,-95.77140039999999
