,Name,Address,Latitude,Longitude
0,ALDI,"1530 Southwest Arvonia Place, Topeka",39.0392027,-95.76641599999999
1,Walmart Supercenter,"1501 Southwest Wanamaker Road, Topeka",39.0398354,-95.7646231
2,Target Grocery,"2120 Southwest Wanamaker Road, Topeka",39.0275215,-95.76049979999999
3,TT Asian Grocery - Indian Fresh Market,"2831 Southwest Wanamaker Road, Topeka",39.0155907,-95.7642759
4,Walmart Supercenter,"1501 Southwest Wanamaker Road, Topeka",39.0398354,-95.7646231
5,Target Grocery,"2120 Southwest Wanamaker Road, Topeka",39.0275215,-95.76049979999999
6,TT Asian Grocery - Indian Fresh Market,"2831 Southwest Wanamaker Road, Topeka",39.0155907,-95.7642759
7,Apple Market,"1945 Southwest Gage Boulevard, Topeka",39.03168730000001,-95.72558320000002
8,Apple Market,"1945 Southwest Gage Boulevard, Topeka",39.03168730000001,-95.72558320000002
9,Walmart Neighborhood Market,"335 Southwest Macvicar Avenue, Topeka",39.06,-95.70833329999999
10,Walmart Neighborhood Market,"335 Southwest Macvicar Avenue, Topeka",39.06,-95.70833329999999
11,Family Dollar,"1313 Southwest 21st Street, Topeka",39.0291267,-95.6947591
12,Walmart Supercenter,"1301 Southwest 37th Street, Topeka",38.9984741,-95.6937866
13,Tilton's Westside Thriftway,"1100 Southwest 6th Avenue, Topeka",39.0556825,-95.6877882
14,Family Dollar,"501 Southwest 21st Street, Topeka",39.029078,-95.68408199999999
15,Family Dollar,"1313 Southwest 21st Street, Topeka",39.0291267,-95.6947591
16,ALDI,"105 Southwest 29th Street, Topeka",39.01401970000001,-95.68274389999999
17,ALDI,"105 Southwest 29th Street, Topeka",39.01401970000001,-95.68274389999999
18,Walmart Supercenter,"1301 Southwest 37th Street, Topeka",38.9984741,-95.6937866
19,Walmart Supercenter,"2600 Northwest Rochester Road, Topeka",39.09366569999999,-95.671691
20,Walmart Supercenter,"2600 Northwest Rochester Road, Topeka",39.09366569999999,-95.671691
21,Family Dollar,"501 Southwest 21st Street, Topeka",39.029078,-95.68408199999999
22,ALDI,"105 Southwest 29th Street, Topeka",39.01401970000001,-95.68274389999999
23,Walmart Supercenter,"2600 Northwest Rochester Road, Topeka",39.09366569999999,-95.671691
24,Walmart Supercenter,"2600 Northwest Rochester Road, Topeka",39.09366569999999,-95.671691
25,La Unica Supermarket,"1706 Southeast 6th Avenue, Topeka",39.046624,-95.6530263
26,Walmart Supercenter,"2630 Southeast California Avenue, Topeka",39.0205841,-95.648674
27,La Unica Supermarket,"1706 Southeast 6th Avenue, Topeka",39.046624,-95.6530263
28,Walmart Supercenter,"2630 Southeast California Avenue, Topeka",39.0205841,-95.648674
