OBJECTID,LocationID,Agency,AgencyContactName,AgencyContactPhone,AgencyContactEmail,AgencyWebsite,Address_Description,Dates_Times,Details,MapAddress,Type_Distribution,Additional_Information,Status,Long_X,Lat_Y,GlobalID,CreationDate,Creator,EditDate,Editor,,,
23,23,Salvation Army,Shelley Robertson,785-233-9648,shelley.robertson@usc.salvationarmy.org,https://centralusa.salvationarmy.org/topeka/,Pioneer Adams Apartments,null,Free Grab and Go lunches ,2024 SE MASSACHUSETTS,Meals All Ages,,Active,-95.6681261947295,39.0305965822875,f0104007-7232-4f64-aa51-a287e366a00b,1589491058406,lee.allen,1589560945536,lee.allen,,,
69,70,USD 501 Topeka Public Schools,Chris Wagner,785-295-3076,cwagnner@tps501.org,https://www.topekapublicschools.net/Domain/66,Highland Park High School (2424 SE California Ave);,"Starts June 1, 2020,11:00am-12:00pm",Meal Distribution Sites for grab and go meals for breakfast and lunch for students-- will have drive up pick up for meal sites,2424 SE CALIFORNIA AVE,Meals 18 and Under,,Active,-95.6502088962628,39.0235528048545,e1474de8-422f-4411-9ce1-df45eb27b514,1589491058406,lee.allen,1590596695703,ljmartin.ksu,,,
92,93,West Side Baptist Church ,null,785-233-4241,null,https://wsbctopeka.org/,1008 SW 4th St,Wed. 4:00pm-6:00pm,"Harvesters pantry, onsite and mobile distribution",1008 SW 4TH ST,Pantry Items,,Active,-95.6852719751519,39.0582042689816,ed4063c7-9975-4c31-ae5a-493041394ba7,1589491058406,lee.allen,1590081132918,lee.allen,,,
75,76,USD 501 Topeka Public Schools,Chris Wagner,785-295-3076,cwagnner@tps501.org,https://www.topekapublicschools.net/Domain/66,Pine Ridge Prep (1110 SE Highland Ave);,"Starts June 1, 2020, 11:00am-12:00pm",Meal Distribution Sites for grab and go meals for breakfast and lunch for students-- will have drive up pick up for meal sites,1110 SE HIGHLAND AVE,Meals 18 and Under,,Active,-95.6421258725063,39.0362300168677,58fb32ab-79e1-4f43-9cda-6d7a142d511e,1589491058406,lee.allen,1590596999033,ljmartin.ksu,,,
9,9,"Community Action, Inc.-Harvesters Mobile Food Pantry",Teresa Sowell,785-836-4535,tsowell@wefightpoverty.org, http://www.wefightpoverty.org/,Mobile food pantries in Auburn will continue as scheduled,"Auburn Food Pantry-4th Friday, 12:30pm-1:30pm",Auburn Community Center,121 W 11TH ST,Pantry Items,"Distributions may be rescheduled, added or canceled due to weather, holidays or unforeseen circumstances.",Active,-95.8171253172641,38.9096736388516,2350cc92-7bd5-45f3-a954-0319fd8d0be9,1589491058406,lee.allen,1591114972283,ljmartin.ksu,,,
15,15,I Care,null,785-267-5910,null,http://icaretopeka.org/site/,"Located in Highland Park United Methodist Church, 2914 SE Michigan",Mon-Fri 8:30am-11:30am/Tues. 5:30pm-7:30pm,"Serving SE Topeka, current piece of mail with date showing current address-SS Card for each person in household",2914 SE MICHIGAN AVE,Meals All Ages,,Active,-95.6581863108952,39.0144413891357,1d87825f-245e-4ae3-8e92-e47ca7a3537c,1589491058406,lee.allen,1590681134210,ljmartin.ksu,,,
89,90,USD 501 Topeka Public Schools,Chris Wagner,785-295-3076,cwagnner@tps501.org,https://www.topekapublicschools.net/Domain/66,Highland Park High (1205-1220),MON-FRI 1205-1220,Lunch Sites (Salvation Army)- Food provided by Salvation Army,2424 SE CALIFORNIA AVE,Meals All Ages,,Active,-95.6502088962628,39.0235528048545,42104887-48e3-454f-b298-e4453aeb9690,1589491058406,lee.allen,1589560945536,lee.allen,,,
95,null,USD 501 Topeka Public School,Chris Wagner,785-295-3076,cwagner@tps501.org,https://www.topekapublicschools.net/Domain/66,"Westminster Church, 1275 SW Boswell","Starting June 1, 2020, M/W/F 11:00am-12:00pm",Meal Distribution Sites for grab and go meals for breakfast and lunch for students-- will have drive up pick up for meal sites,1275 SW Boswell,Meals 18 and Under,null,Active,null,null,95d95457-3eee-4536-8772-8beffbaad89c,1590608811676,ljmartin.ksu,1590609191494,ljmartin.ksu,,,
72,73,USD 501 Topeka Public Schools,Chris Wagner,785-295-3076,cwagnner@tps501.org,https://www.topekapublicschools.net/Domain/66,Meadows Elementary School (201 SW Clay St);,"Starts June 1, 2020,  11:00am-12:00pm",Meal Distribution Sites for grab and go meals for breakfast and lunch for students-- will have drive up pick up for meal sites,201 SW CLAY ST,Meals 18 and Under,,Active,-95.6857242363473,39.0602469808502,c5a0aad6-bd79-494b-bed6-af17cb66aa7e,1589491058406,lee.allen,1590596844515,ljmartin.ksu,,,
78,79,USD 501 Topeka Public Schools,Chris Wagner,785-295-3076,cwagnner@tps501.org,https://www.topekapublicschools.net/Domain/66,Robinson Middle School (1125 SW 14th St);,"Starts June 1, 2020, 11:00am-12:00pm",Meal Distribution Sites for grab and go meals for breakfast and lunch for students-- will have drive up pick up for meal sites,1125 SW 14TH ST,Meals 18 and Under,,Active,-95.6927672694059,39.0406084233837,7bee3b76-e5ff-4dde-8f96-3f067f796402,1589491058406,lee.allen,1590597268818,ljmartin.ksu,,,
