,Name,Address,Latitude,Longitude
0,Landmark National Bank,"1741 North Washington Street, Auburn",38.917373,-95.8161805
1,Silver Lake Bank,"2100 Southwest Urish Road, Topeka",39.028453000000006,-95.780473
2,Landmark National Bank,"6010 Southwest 6th Avenue, Topeka",39.05816299999999,-95.762385
3,Federal Home Loan Bank-Topeka,"500 Southwest Wanamaker Road, Topeka",39.05870120000001,-95.76091059999999
4,Central National Bank,"1501 Southwest Wanamaker Road, Topeka",39.0399517,-95.7639134
5,CoreFirst Bank & Trust ATM,"2129 Southwest Wanamaker Road, Topeka",39.027857,-95.7628145
6,Fidelity State Bank & Trust Co,"5926 Southwest 21st Street, Topeka",39.0295972,-95.7603072
7,CoreFirst Bank & Trust,"2129 Southwest Wanamaker Road, Topeka",39.02775,-95.7628048
8,Landmark National Bank,"6100 Southwest 21st Street, Topeka",39.0297254,-95.7646843
9,Devlin's Liquor Store,"2850 Southwest Wanamaker Road, Topeka",39.0151385,-95.76172220000001
10,Central National Bank Smart ATM,"2820 Southwest Wanamaker Road, Topeka",39.0155373,-95.7620313
11,Heritage Bank,"3024 Southwest Wanamaker Road, Topeka",39.0126164,-95.761145
12,Sunflower Bank,"2641 Southwest Wanamaker Road #101, Topeka",39.0188195,-95.7628842
13,Capitol Federal® Savings Bank,"2865 Southwest Wanamaker Road, Topeka",39.015063500000004,-95.7629969
14,Alliance Bank,"3001 Southwest Wanamaker Road, Topeka",39.0129713,-95.7628169
15,VisionBank,"3031 Southwest Wanamaker Road, Topeka",39.012212,-95.7629824
16,CBW Bank,"3745 Southwest Wanamaker Road, Topeka",38.9973157,-95.762859
17,CoreFirst Bank & Trust,"3701 Southwest Wanamaker Road, Topeka",38.99968339999999,-95.7629909
18,Corefirst Bank & Trust ATM,"1 Southwest Security Benefit Place, Topeka",39.0559615,-95.7564797
19,U.S. Bank Branch,"5730 Southwest 21st Street, Topeka",39.029582899999994,-95.7523552
20,U.S. Bank ATM - 21st Street,"5730 Southwest 21st Street, Topeka",39.02961999999999,-95.7523833
21,UMB Bank (with drive-thru services),"5923 Southwest 29th Street, Topeka",39.01424009999999,-95.7589078
22,Lyndon State Bank,"1420401017019020, Topeka",39.038395,-95.7436873
23,CoreFirst Bank at Dillons,"5311 Southwest 22nd Place, Topeka",39.0269008,-95.7446204
24,Capitol Federal® Savings Bank,"2100 Southwest Fairlawn Road, Topeka",39.02889570000001,-95.7432271
25,Community Bank,"5431 Southwest 29th Street, Topeka",39.013924200000005,-95.74735030000001
26,CoreFirst Bank & Trust,"4900 Southwest 29th Street, Topeka",39.0151858,-95.7390085
27,Denison State Bank,"3640 Southwest Fairlawn Road, Topeka",39.001523999999996,-95.744848
28,Coldwell Banker,"5120 Southwest Fairlawn Road, Topeka",38.9745841,-95.7430074
29,U.S. Bank Branch,"1017 Southwest Gage Boulevard, Topeka",39.0504003,-95.72518409999999
30,U.S. Bank ATM - Fleming Place,"1017 Southwest Gage Boulevard, Topeka",39.0502903,-95.7252184
31,CoreFirst Bank & Trust,"1105 Southwest Gage Boulevard, Topeka",39.0490946,-95.725264
32,Fidelity State Bank & Trust Co,"1241 Southwest Gage Boulevard, Topeka",39.043664299999996,-95.7251694
33,Capitol Federal® Savings Bank,"1701 Southwest Gage Boulevard, Topeka",39.03647460000001,-95.7252928
34,Silver Lake Bank,"2011 Southwest Gage Boulevard, Topeka",39.030823,-95.725316
35,Equity Bank,"3825 Southwest 29th Street, Topeka",39.014534999999995,-95.7253547
36,Fidelity State Bank & Trust Co,"3835 Southwest 29th Street, Topeka",39.01457199999999,-95.7257452
37,Alliance Bank,"2620 Southwest 6th Avenue A, Topeka",39.059138700000005,-95.70748490000001
38,Equity Bank,"507 Southwest 8th Avenue, Topeka",39.050114,-95.6809989
39,Capitol Federal® Savings Bank,"1201 Southwest Topeka Boulevard, Topeka",39.0443533,-95.6832493
40,INTRUST Bank,"1035 Southwest Topeka Boulevard, Topeka",39.04639919999999,-95.68248890000001
41,CoreFirst Bank & Trust Headquarters,"3035 Southwest Topeka Boulevard, Topeka",39.01260180000001,-95.68858940000001
42,Capitol Federal® Savings Bank,"2901 South Kansas Avenue, Topeka",39.0148742,-95.6823558
43,Check Into Cash,"3200 Southwest Topeka Boulevard, Topeka",39.01064119999999,-95.6870445
44,U.S. Bank ATM - White Lakes,"3600 Southwest Topeka Boulevard, Topeka",39.00217809999999,-95.6871505
45,U.S. Bank Branch,"3600 Southwest Topeka Boulevard, Topeka",39.00218419999999,-95.687063
46,Capitol Federal® Savings Bank,"3710 Southwest Topeka Boulevard, Topeka",38.9998933,-95.6867857
47,Community Bank,"801 Northwest 25th Street, Topeka",39.091772999999996,-95.6736539
48,U.S. Bank Branch,"434 Southwest Jackson Street, Topeka",39.053783700000004,-95.6737551
49,U.S. Bank ATM - 5th & Jackson,"434 Southwest Jackson Street, Topeka",39.053783100000004,-95.6737554
50,U.S. Bank ATM - at Crosby Place,"719 South Kansas Avenue, Topeka",39.049162200000005,-95.67508659999999
51,Vision Bank,"712 South Kansas Avenue # 1, Topeka",39.0496497,-95.6736746
52,Equity Bank,"701 South Kansas Avenue, Topeka",39.05019999999999,-95.67443320000001
53,Capitol Federal® Savings Bank,"700 South Kansas Avenue, Topeka",39.0499122,-95.673591
54,Fidelity State Bank & Trust Co,"600 South Kansas Avenue, Topeka",39.0513106,-95.6730514
55,U.S. Bank Branch,"719 South Kansas Avenue, Topeka",39.0496239,-95.67459759999998
56,Central National Bank,"800 Southeast Quincy Street, Topeka",39.048058700000006,-95.67286659999999
57,Banking Department,"700 Southwest Jackson Street # 300, Topeka",39.050391,-95.6750451
58,CoreFirst Bank & Trust,"830 South Kansas Avenue, Topeka",39.047494799999996,-95.6748535
59,Core Fir Bank Building,"100 Southeast 9th Street, Topeka",39.0474237,-95.6744996
60,New century credit union,"707 Southeast Quincy Street, Topeka",39.0497878,-95.672738
61,Labette Bank,"2000 Northwest Central Avenue, Topeka",39.08515189999999,-95.6643439
62,CoreFirst Bank & Trust,"2010 Northwest Central Avenue, Topeka",39.08569429999999,-95.6643444
63,Silver Lake Bank,"201 U.S. 24, Topeka",39.089936200000004,-95.66258590000001
64,Capitol Federal® Savings Bank,"2040 Northwest Topeka Boulevard, Topeka",39.087072799999994,-95.664098
65,Gideon Enterprises LP,"201 U.S. 24, Topeka",39.08988319999999,-95.6625982
66,Kaw Valley Bank,"1110 North Kansas Avenue, Topeka",39.07052479999999,-95.6643443
67,CoreFirst Bank at Dillons,"2010 Southeast 29th Street, Topeka",39.01658400000001,-95.649982
68,UMB Bank,"2870 Southeast California Avenue, Topeka",39.0155882,-95.6493035
69,Capitol Federal® Savings Bank,"2400 Northeast Seward Avenue, Topeka",39.0592365,-95.6408627
70,Capitol Federal® Savings Bank,"3310 Southeast 29th Street #100, Topeka",39.0156165,-95.6207067
71,CoreFirst Bank,"2841 Southeast Croco Road, Topeka",39.01563239999999,-95.61469709999999
