,Name,Address,Latitude,Longitude
0,Hook's Service,United States,38.9137815,-95.8162865
1,Casey's,"6741 Southwest 21st Street, Topeka",39.0286447,-95.779577
2,BP,"1000 Southwest Wanamaker Road, Topeka",39.0505562,-95.7612714
3,Haag Express,"1001 Southwest Wanamaker Road, Topeka",39.0502721,-95.7623738
4,Street Corner,"1801 Southwest Wanamaker Road K1, Topeka",39.03338310000001,-95.7666209
5,Murphy USA,"1531 Southwest Wanamaker Road, Topeka",39.03850599999999,-95.7624009
6,CVS,"2835 Southwest Wanamaker Road, Topeka",39.0153787,-95.7643581
7,Hy-Vee Gas,"6011 Southwest 29th Street, Topeka",39.014047,-95.763635
8,BP,"5977 Southwest 29th Street, Topeka",39.01426999999999,-95.761836
9,Walgreens,"3630 Southwest Wanamaker Road, Topeka",39.00058409999999,-95.76155370000001
10,Kwik Shop,"5700 Southwest 21st Street, Topeka",39.029776899999995,-95.7509738
11,Amoco,"600 Southwest Fairlawn Road, Topeka",39.0579059,-95.74287109999999
12,In A Pinch Convenience,"706 Southwest Fairlawn Road, Topeka",39.0563707,-95.7427801
13,FAIRLAWN EXPRESS,"706 Southwest Fairlawn Road, Topeka",39.05637649999999,-95.74271910000002
14,Walgreens,"2121 Southwest Fairlawn Road, Topeka",39.0282342,-95.7446758
15,Haag Oil Co,"2836 Southwest Fairlawn Road, Topeka",39.01508,-95.743308
16,Amoco,"2836 Southwest Fairlawn Road, Topeka",39.015139000000005,-95.74334
17,Super Store,"4301 Southwest 21st Street #100, Topeka",39.029048700000004,-95.7289743
18,BP,"3120 Southwest Gage Boulevard, Topeka",39.010496,-95.728436
19,Walgreens,"1001 Southwest Gage Boulevard, Topeka",39.05047279999999,-95.7257009
20,CVS,"3901 Southwest 21st Street, Topeka",39.02893220000001,-95.7257459
21,Walgreens,"3900 Southwest 29th Street, Topeka",39.01532909999999,-95.7265116
22,Kwik Shop,"2619 Southwest 21st Street, Topeka",39.02930699999999,-95.71039
23,Kwik Shop,"2520 Southwest 6th Avenue, Topeka",39.0590568,-95.7067048
24,Quick Stop,"1320 Southwest 6th Avenue, Topeka",39.05681080000001,-95.6913785
25,Kwik Shop,"1414 Southwest 17th Street, Topeka",39.03726470000001,-95.69627940000001
26,Washburn Auto Service Center,"2236 Southwest Washburn Avenue, Topeka",39.0279401,-95.6964553
27,Amoco,"931 Southwest 37th Street, Topeka",39.0003552,-95.6909559
28,TJ's Express,"5305 Southwest Topeka Boulevard, Topeka",38.97123179999999,-95.688408
29,Amoco,"5305 Southwest Topeka Boulevard, Topeka",38.971243,-95.6880901
30,Walgreens,"1001 Southwest Topeka Boulevard, Topeka",39.047309399999996,-95.6824325
31,Kwik Shop,"1700 Southwest Topeka Boulevard, Topeka",39.03669509999999,-95.6824875
32,Walgreens,"3696 Southwest Topeka Boulevard, Topeka",39.0014531,-95.6871129
33,Larry's Short Stop,"3834 Southwest Topeka Boulevard, Topeka",38.996477299999995,-95.6873767
34,Kwik Shop,"102 Southeast 37th Street, Topeka",39.000868,-95.67975200000001
35,Kwik Shop,"4500 Southwest Topeka Boulevard, Topeka",38.984857100000006,-95.68720040000001
36,John's Food Center,"5812 Southwest Topeka Boulevard, Topeka",38.9621023,-95.6867795
37,Kwik Shop,"1114 Northwest Topeka Boulevard, Topeka",39.071843,-95.670533
38,Topeka Quick Stop,"1020 Northwest Topeka Boulevard, Topeka",39.0717037,-95.6706282
39,Bwell Market,"600 Southeast Quincy Street, Topeka",39.05082489999999,-95.6715071
40,BP,"600 Southeast Quincy Street, Topeka",39.050977,-95.67153540000001
41,ATM (Downtown Bp Food Shop),"600 Southeast Quincy Street, Topeka",39.0508095,-95.6714948
42,Goose Express,"2901 Southeast Fremont Street, Topeka",39.0149291,-95.6752268
43,Amoco,"2901 Southeast Fremont Street, Topeka",39.0149055,-95.6752599
44,Top City Liquor,"517 Southeast 37th Street, Topeka",39.0003162,-95.6718383
45,BP,"3000 Northwest Topeka Boulevard, Topeka",39.099248200000005,-95.66435990000001
46,Walgreens,"2101 Northwest Topeka Boulevard, Topeka",39.088043299999995,-95.6655205
47,Dollar tree,"2050 Northwest Topeka Boulevard, Topeka",39.0869923,-95.6628771
48,Conoco Food & Tobacco,"2045 North Kansas Avenue, Topeka",39.0873101,-95.6604616
49,WOODYS GAS EXPRESS,"101 Northeast US 24 Highway, Topeka",39.0903591,-95.6594755
50,Walgreens,"2901 Southeast California Avenue, Topeka",39.014776399999995,-95.652263
51,BP,"2740 Southeast California Avenue, Topeka",39.017433000000004,-95.6513203
52,ATM (Casey's General Store),"4441 Southeast California Avenue, Topeka",38.9868066,-95.6523896
53,Casey's,"4441 Southeast California Avenue, Topeka",38.9866041,-95.6521524
54,Kwik Shop,"746 Northeast Wabash Avenue, Topeka",39.06598820000001,-95.639492
55,BP,"2518 Northeast Seward Avenue, Topeka",39.059071,-95.63916440000001
56,Oakland's One Stop Smoke Shop,"1919 Northeast Seward Avenue, Topeka",39.058555600000005,-95.64522
57,Best Shop,"3101 Southeast Carnahan Avenue A, Topeka",39.0439185,-95.636892
58,East Quick Stop,"3100 Southeast 6th Avenue, Topeka",39.044649299999996,-95.63622209999998
59,Casey's,"600 Southeast Rice Road, Topeka",39.043810799999996,-95.6223476
60,KWIK STOP,"550 Southeast Croco Road, Topeka",39.044675,-95.61308790000001
