,Name,Address,Latitude,Longitude
0,Ball Custom Kitchens,"1431 Southwest Auburn Road, Topeka",39.040745,-95.81758559999999
1,Dollar General,"1420 North Washington Street, Auburn",38.9130918,-95.81747270000001
2,Greer House Antiques,"3015 Southwest Lagito Drive, Topeka",39.0111409,-95.8067635
3,Cambridge Kitchen & Bath,"2025 Southwest Urish Road Suite 110, Topeka",39.0295984,-95.7816304
4,Davis Electric Construction,"2850 Southwest Mission Woods Drive, Topeka",39.0153708,-95.77874840000001
5,Menards,"6401 Southwest 17th Street, Topeka",39.03508749999999,-95.7714004
6,Lowe's Home Improvement,"1621 Southwest Arvonia Place, Topeka",39.0375402,-95.7680397
7,Wild Bird House,"2901 Southwest 29th Street, Topeka",39.0142492,-95.7759416
8,Sarre Side Studios,"Gewerbegebiet BAB1 Am Schaumberg, 66636 Theley",39.05785180000001,-95.764922
9,JOANN Fabrics and Crafts,"1133 Southwest Wanamaker Road Ste 200, Topeka",39.04617390000001,-95.7640526
10,Sleep Number,"1191 Southwest Wanamaker Road Suite A, Topeka",39.0461251,-95.7621548
11,Factory Direct Appliance,"1040 Southwest Wanamaker Road, Topeka",39.04914249999999,-95.76063640000001
12,Best Buy,"1600 Southwest Wanamaker Road, Topeka",39.0376265,-95.7608742
13,JCPenney,"1821 Southwest Wanamaker Road, Topeka",39.0328446,-95.7657039
14,Walmart Supercenter,"1501 Southwest Wanamaker Road, Topeka",39.0398354,-95.7646231
15,Dillard's,"1791 Southwest Wanamaker Road, Topeka",39.0336937,-95.7643793
16,Walmart Photo Center,"1501 Southwest Wanamaker Road, Topeka",39.039818800000006,-95.7645465
17,Bath & Body Works,"1801 Southwest Wanamaker Road, Topeka",39.03339729999999,-95.7667496
18,Hot Topic,"1801 Southwest Wanamaker Road STE G20, Topeka",39.03265529999999,-95.7663738
19,Hobby Lobby,"1900 Southwest Wanamaker Road, Topeka",39.033795399999995,-95.7597564
20,"The Mattress Hub Topeka, KS","1580 Southwest Wanamaker Road, Topeka",39.037945799999996,-95.7605455
21,Mattress Headquarters,"1901 Southwest Wanamaker Road suite e, Topeka",39.03123860000001,-95.766208
22,Mattress Firm Clearance,"1540 Southwest Wanamaker Road, Topeka",39.0388234,-95.7612401
23,Bed Bath & Beyond,"1900 Southwest Wanamaker Road, Topeka",39.0333652,-95.7607064
24,Spectrum Paint,"1550 Southwest Wanamaker Road #100c, Topeka",39.0390034,-95.7603749
25,Kirkland's,"1801 SW Wanamaker Rd Suite C06b, Topeka",39.03203389999999,-95.7660808
26,RoomMakers,"1901 Southwest Wanamaker Road, Topeka",39.0313365,-95.7662103
27,Slumberland Furniture - Topeka,"1800 Southwest Wanamaker Road, Topeka",39.0345374,-95.75915090000001
28,Discovery Furniture,"1901 Southwest Wanamaker Road, Topeka",39.03136579999999,-95.7658163
29,Furniture Mall of Kansas,"1901 Southwest Wanamaker Road, Topeka",39.03121229999999,-95.7661756
30,Target,"2120 Southwest Wanamaker Road, Topeka",39.028363299999995,-95.7589902
31,Tuesday Morning - Closing Sale In Progress,"1930 Southwest Wanamaker Road Suite A1, Topeka",39.03145409999999,-95.76072990000002
32,Pier 1,"1930 Southwest Wanamaker Road, Topeka",39.030175,-95.7608351
33,Sherwin-Williams Paint Store,"5930 Southwest 19th Terrace ste b, Topeka",39.032291,-95.760848
34,Carpet Plus Design Center,"1930 Southwest Wanamaker Road e, Topeka",39.0302588,-95.7609578
35,Vintage Stock,"1930 Southwest Wanamaker Road, Topeka",39.03122400000001,-95.760716
36,Dollar Tree,"2180 Southwest Wanamaker Road, Topeka",39.0267477,-95.7605861
37,Ashley HomeStore,"2190 Southwest Wanamaker Road, Topeka",39.026926,-95.76138459999999
38,The Floor Project - Brands for Less Topeka,"5930 Southwest 19th Terrace, Topeka",39.03225690000001,-95.76066540000001
39,Lumber Liquidators Flooring,"5907 Southwest 21st Street, Topeka",39.0287151,-95.75804120000001
40,Ricoh USA Inc,"2655 Southwest Wanamaker Road, Topeka",39.018287,-95.76294
41,CVS Photo,"2835 Southwest Wanamaker Road, Topeka",39.015431799999995,-95.7643001
42,Wheatland Pest Control,"2813 Southwest Westport Plaza Drive, Topeka",39.01551729999999,-95.7602525
43,Batteries Plus Bulbs,"6021 Southwest 29th Street suite d, Topeka",39.014219700000005,-95.7644928
44,Crane Handyman Company,"2710 Southwest Ashworth Place, Topeka",39.01710449999999,-95.7589428
45,Cambridge Quartz & Granite,"5967 Southwest 29th Street, Topeka",39.01422379999999,-95.7608834
46,Walgreens Photo,"3630 Southwest Wanamaker Road, Topeka",39.0005511,-95.76154050000001
47,Exceptions Studios,"4042 Southwest Wanamaker Road #1348, Topeka",38.993173999999996,-95.7617238
48,The Home Depot,"5900 Southwest Huntoon Street, Topeka",39.045042200000005,-95.7583185
49,Garden Center at The Home Depot,"5900 Southwest Huntoon Street, Topeka",39.0444377,-95.7584689
50,"Spring Hill, KS","5701 Southwest Drury Lane, Topeka",39.039300700000005,-95.7507801
51,Fine Design Studio,"2109 Southwest Belle Avenue, Topeka",39.0287304,-95.7509199
52,Long Lighting Studio,"2111 Southwest Belle Avenue, Topeka",39.0283345,-95.750941
53,Party America,"2010 Southwest Westport Drive, Topeka",39.030766899999996,-95.7566167
54,"Party City (In Store Shopping, Curbside Pickup, Same Day Delivery)","2010 Southwest Westport Drive, Topeka",39.0307156,-95.756562
55,Potwin Pottery,"5813 Southwest 22nd Terrace, Topeka",39.024662799999994,-95.75523940000001
56,Burney Van Stone Inc/officesthatwork OFUSA,"5646 Southwest 29th Street, Topeka",39.014619200000006,-95.7514352
57,Mattress By Appointment,"5624 Southwest 29th Street, Topeka",39.015176000000004,-95.750677
58,"The Appliance Shop, Inc","5646 Southwest 29th Street, Topeka",39.0154364,-95.7514938
59,Winston Brown Remodeling,"5600 Southwest 29th Street, Topeka",39.015122999999996,-95.749893
60,Bedsprings and Burlap,"837 Southwest Fairlawn Road, Topeka",39.053158399999994,-95.7437596
61,Dollar General,"1001 Southwest Fairlawn Road, Topeka",39.050543,-95.743894
62,Live Music Institute,"5224 Southwest 17th Street, Topeka",39.03680500000001,-95.744778
63,Top City Music,"5224 Southwest 17th Street, Topeka",39.03684990000001,-95.7449164
64,Sweet Baking & Candy Making Supply,"5331 Southwest 22nd Place, Topeka",39.0267815,-95.7466794
65,Red Door Home Store,"2131 Southwest Fairlawn Plaza Drive, Topeka",39.02759200000001,-95.746799
66,OfficeMax,"2109 Southwest Fairlawn Plaza Drive, Topeka",39.028425799999994,-95.7470149
67,Home At Last,"5331 Southwest 22nd Place, Topeka",39.02667520000001,-95.7465661
68,Walgreens Photo,"2121 Southwest Fairlawn Road, Topeka",39.028231700000006,-95.7444961
69,"Animals R Us Wildlife Removal, Control, and Relocation","5232 Southwest 25th Terrace, Topeka",39.0222117,-95.7450193
70,Carpet One Floor & Home,"5131 Southwest 29th Street, Topeka",39.01419219999999,-95.7425711
71,Lebeda Mattress Factory,"5130 Southwest 29th Street, Topeka",39.0151502,-95.7429076
72,Big Lots,"5121 Southwest 29th Street, Topeka",39.0139744,-95.7418558
73,Countertop Shoppe,"5501 Southwest 29th Street, Topeka",39.013883299999996,-95.74831929999999
74,Westlake Ace Hardware,"5001 Southwest 29th Street, Topeka",39.0137675,-95.7405495
75,All Seasons Pest Control LLC,"5212 Southwest 33rd Street, Topeka",39.0081363,-95.74473520000001
76,"Wheatland Inspections Plus, LLC","2341 Southwest Winterwood Lane #1, Topeka",39.0242162,-95.735834
77,Bodine's Pest Control,"2525 Southwest Sunset Road, Topeka",39.021618700000005,-95.73804240000001
78,Traveling the Vortex Studios,"3731 Southwest Moundview Court, Topeka",38.999075,-95.729842
79,Green Pest Solutions,"4100 Southwest 40th Street, Topeka",38.994874200000005,-95.7311921
80,Advanced Coatings Inc,"4736 Southwest Gage Boulevard, Topeka",38.980944799999996,-95.72966070000001
81,Flu Con,"2101 Northwest Brickyard Road, Topeka",39.087027899999995,-95.7256835
82,"Dealers Choice, A Beacon Roofing Supply Company","4008 Northwest 14th Street, Topeka",39.078099,-95.724679
83,"Ozark Integrated Pest Services, Inc","4103 Northwest 16th Street, Topeka",39.0793745,-95.7256043
