,Name,Address,Latitude,Longitude
0,K & K Liquor,"2025 Southwest Urish Road, Topeka",39.029764799999995,-95.781548
1,EJ's Liquor Barn,"1001 Southwest Wanamaker Road, Topeka",39.0503719,-95.7620358
2,Hy-Vee,"2951 Southwest Wanamaker Road, Topeka",39.01251500000001,-95.76383
3,Devlin's Liquor Store,"2850 Southwest Wanamaker Road, Topeka",39.0151385,-95.76172220000001
4,Meyer's Wine & Spirits,"5610 Southwest 29th Street, Topeka",39.01497519999999,-95.7505421
5,Reeb's Retail Liquor,"901 Southwest Fairlawn Road, Topeka",39.0527563,-95.7437236
6,Jacs Liquor,"5200 Southwest 21st Street, Topeka",39.029705,-95.744161
7,Oak & Vine,"5331 Southwest 22nd Place Suite, Topeka",39.0265163,-95.7464048
8,Devlins Wine & Spirits,"4301 Southwest 21st Street #103, Topeka",39.0290152,-95.72918359999998
9,Lynn's Liquors - 17% off Wedding Reception Wine & Liquor,"3335 Southwest Gage Boulevard, Topeka",39.0068699,-95.7307947
10,Vern's Retail Liquor,"3700 Southwest Gage Boulevard, Topeka",38.9999049,-95.729487
11,Watkin's Liquor,"4006 Southwest Huntoon Street, Topeka",39.044316200000004,-95.7265333
12,Fleming Place Wine & Spirits,"4001 Southwest 10th Avenue, Topeka",39.050814,-95.72715720000001
13,Grace Retail Liquor,Topeka,39.0293596,-95.7103686
14,Brookwood Retail Liquor,"2900 Southwest Oakley Avenue # D, Topeka",39.0146914,-95.7155393
15,Charlie's Liquor,"1235 Southwest Huntoon Street, Topeka",39.04399,-95.694114
16,College Hill Liquor Store,"1501 Southwest 21st Street #125, Topeka",39.0287953,-95.6957801
17,Patty's Retail Liquor,"3705 Southwest Plaza Drive, Topeka",39.0002032,-95.6920036
18,Edwards Retail Liquor,"5341 Southwest Topeka Boulevard, Topeka",38.969584899999994,-95.6880694
19,Sixth Street Liquor Store,"520 Southwest 6th Avenue, Topeka",39.0537064,-95.6799293
20,Murphy's Liquor Exchange,"400 Southwest 29th Street, Topeka",39.01611490000001,-95.6858974
21,Cyrus K's Liquor,"2901 Southwest Topeka Boulevard, Topeka",39.0146946,-95.6879353
22,NOTO Wine & Spirits,"910 Northwest 25th Street ste c, Topeka",39.09341149999999,-95.67595379999999
23,Neighborhood Liquor,"810 Southeast 15th Street Suite 1, Topeka",39.03722609999999,-95.66831
24,Cîroc Neighborhood Liquor,Topeka,39.037291700000004,-95.66805140000001
25,Top City Liquor,"517 Southeast 37th Street, Topeka",39.0003162,-95.6718383
26,Barrel House Liquor,"230 Northwest Lyman Road, Topeka",39.08801630000001,-95.6634611
27,North Side Liquor,"232 Northwest Independence Avenue, Topeka",39.085254600000006,-95.66368879999999
28,Cromier II liquor,"1107 Southeast 6th Avenue, Topeka",39.047875,-95.6597053
29,Won's liquors,"2121 Southeast Virginia Avenue, Topeka",39.0293191,-95.6650025
30,Oakland Express Liquor & Wines,"1118 Northeast Seward Avenue, Topeka",39.059092,-95.6546475
31,Cormier Retail Liquor,"2611 Southeast California Avenue, Topeka",39.0203719,-95.6516621
32,Stadler Retail Liquor,"2210 Northeast Sardou Avenue, Topeka",39.06637,-95.642899
33,Grattidge Liquor Store,"2069 Southeast 29th Street, Topeka",39.01430149999999,-95.6488517
34,Eastside Liquor,"3101 Southeast 6th Avenue, Topeka",39.043992100000004,-95.6368403
35,Dock,"2838 Southeast 29th Street, Topeka",39.015478200000004,-95.6315634
36,Lakeside Wine & Spirits,"3627 Southeast 29th Street # 104, Topeka",39.014101700000005,-95.6122585
