,Name,Address,Latitude,Longitude
0,Breakers,"8249 Southwest 10th Avenue, Topeka",39.049512299999996,-95.81441290000001
1,Oriental Pearl,"2025 Southwest Urish Road, Topeka",39.0294912,-95.78157359999999
2,Red Robin Gourmet Burgers and Brews,"6230 Southwest 6th Avenue, Topeka",39.0584071,-95.7677571
3,Jason's Deli,"6121 Southwest 12th Street Ste 400, Topeka",39.0448692,-95.7649993
4,Hooters,"6100 Southwest 10th Avenue, Topeka",39.0512823,-95.76337609999999
5,Pie Five Pizza,"1129 Southwest Wanamaker Road, Topeka",39.0469581,-95.76220570000001
6,McAlister's Deli,"1129 Southwest Wanamaker Road B, Topeka",39.04681100000001,-95.762144
7,Five Guys,"1191 Southwest Wanamaker Road, Topeka",39.04605249999999,-95.762094
8,Jimmy John's,"1025 Southwest Wanamaker Road, Topeka",39.04898010000001,-95.7622827
9,Old Chicago,"1231 Southwest Wanamaker Road, Topeka",39.0443815,-95.7636566
10,Buffalo Wild Wings,"1227 Southwest Wanamaker Road #400, Topeka",39.0449945,-95.763936
11,QDOBA Mexican Eats,"1025 Southwest Wanamaker Road Suite A, Topeka",39.049045299999996,-95.76227209999999
12,On The Border Mexican Grill & Cantina,"1235 Southwest Wanamaker Road, Topeka",39.0443709,-95.7623301
13,Burger King,"6002 Southwest 10th Street, Topeka",39.05134869999999,-95.76235159999999
14,Freddy's Frozen Custard & Steakburgers,"1050 Southwest Wanamaker Road, Topeka",39.0486456,-95.7609168
15,Spangles,"1130 Southwest Wanamaker Road, Topeka",39.046023999999996,-95.761324
16,Culver's,"1035 Southwest Wanamaker Road, Topeka",39.048514000000004,-95.762247
17,Fine Mexican Food,Topeka,39.0444521,-95.7623058
18,HuHot Mongolian Grill,"5900 Southwest Huntoon Street, Topeka",39.0454763,-95.7584551
19,Arby's,"5930 Southwest Huntoon Street, Topeka",39.04405070000001,-95.7602075
20,Cheap Pro Car,"5900 Southwest Huntoon Street, Topeka",39.0454763,-95.7584551
21,Sam's Club Cafe,"1401 Southwest Wanamaker Road, Topeka",39.04149879999999,-95.7646251
22,Golden Corral Buffet & Grill,"1601 Southwest Wanamaker Road, Topeka",39.0375,-95.7625
23,Denny's,"1500 Southwest Wanamaker Road, Topeka",39.0400728,-95.7611167
24,Juli's Coffee & Bistro,"1801 Southwest Wanamaker Road, Topeka",39.0326505,-95.76636620000001
25,Cracker Barrel Old Country Store,"1421 S West, Southwest Ashworth Place, Topeka",39.04088899999999,-95.75842
26,Panera Bread,"1421 Southwest Wanamaker Road, Topeka",39.04092299999999,-95.762263
27,Chick-fil-A,"1625 Southwest Wanamaker Road, Topeka",39.037184499999995,-95.7624929
28,Orange Leaf Frozen Yogurt,"1570 Southwest Wanamaker Road, Topeka",39.03821029999999,-95.76056120000001
29,Ling's Bistro,"1550 Southwest Wanamaker Road #100a, Topeka",39.0391415,-95.7605666
30,Applebee's Grill + Bar,"5928 Southwest 17th Street, Topeka",39.036829,-95.759485
31,Pizza Hut,"1700 Southwest Wanamaker Road Suite 150, Topeka",39.036026899999996,-95.7612978
32,Steak 'n Shake,"1415 Southwest Wanamaker Road, Topeka",39.0417537,-95.7623197
33,Taco Bell,"1560 Southwest Wanamaker Road, Topeka",39.038381099999995,-95.7613085
34,IHOP,"1731 Southwest Wanamaker Road, Topeka",39.034771,-95.762527
35,McDonald's,"1640 Southwest Wanamaker Road, Topeka",39.03687159999999,-95.7611625
36,Jose Pepper's,"1425 Southwest Wanamaker Road, Topeka",39.0406801,-95.7622471
37,LongHorn Steakhouse,"1915 Southwest Wanamaker Road, Topeka",39.0323478,-95.76271440000001
38,Wendy's,"1820 Southwest Wanamaker Road, Topeka",39.034125200000005,-95.7616246
39,Chick-fil-A,"1801 SW Wanamaker Rd Ste VC3, Topeka",39.03308439999999,-95.7670059
40,Olive Garden Italian Restaurant,"1925 Southwest Wanamaker Road, Topeka",39.031296999999995,-95.7628298
41,Chipotle Mexican Grill,"2040 Southwest Wanamaker Road #103, Topeka",39.0295192,-95.7611797
42,Cicis,"2130 Southwest Wanamaker Road Ste 110, Topeka",39.0278292,-95.75968940000001
43,Red Lobster,"2011 Southwest Wanamaker Road, Topeka",39.030359999999995,-95.76274000000001
44,Chuck E. Cheese,"2215 Southwest Wanamaker Road, Topeka",39.026777100000004,-95.7628725
45,Monsoon Indian Grill,"2040 Southwest Wanamaker Road #104, Topeka",39.029464700000005,-95.7609035
46,Planet Sub,"2130 Southwest Wanamaker Road # 120 # 120, Topeka",39.02760019999999,-95.75964870000001
47,Papa John's Pizza,"2121 Southwest Wanamaker Road Ste 117, Topeka",39.0282357,-95.7629059
48,Chili's Grill & Bar,"2021 Southwest Wanamaker Road, Topeka",39.02985090000001,-95.7629426
49,Hardee's,"2100 Southwest Wanamaker Road, Topeka",39.0286785,-95.7616973
50,Jersey Mike's Subs,"2121 Southwest Wanamaker Road Suite 115, Topeka",39.02828299999999,-95.762834
51,Sonic Drive-In,"5922 Southwest 21st Street, Topeka",39.0296767,-95.75964609999998
52,Panda Express,"1920 S, Southwest Wanamaker Road Suite 160, Topeka",39.0324196,-95.76148520000001
53,Lean Kitchen Co- Topeka,"2121 Southwest Wanamaker Road #107, Topeka",39.028493100000006,-95.7629413
54,PepperJax Grill,"2121 Southwest Wanamaker Road #103, Topeka",39.0286104,-95.7628059
55,Noodles and Company,"2110 Southwest Wanamaker Road, Topeka",39.0281487,-95.7616453
56,Casa Martinez Grill,"1801 Southwest Wanamaker Road, Topeka",39.033251,-95.7670039
57,Subway,"6020 Southwest 29th Street, Topeka",39.014999700000004,-95.7642382
58,Glory Days Pizza,"2811 Southwest Wanamaker Road, Topeka",39.01616449999999,-95.76418570000001
59,Amigos Topeka West,"2919 Southwest Wanamaker Road, Topeka",39.01377000000001,-95.7647263
60,Blue Moose,"3030 Southwest Wanamaker Drive, Topeka",39.0123034,-95.7619535
61,Caribou Coffee,"2951 Southwest Wanamaker Road, Topeka",39.0125475,-95.7640287
62,Oriental Express,"5954 Southwest 29th Street, Topeka",39.01505,-95.76047700000001
63,Domino's Pizza,"2940 Southwest Wanamaker Road, Topeka",39.01364649999999,-95.7615271
64,Papa Murphy's | Take 'N' Bake Pizza,"6021 Southwest 29th Street, Topeka",39.01415679999999,-95.76427790000001
65,McDonald's,"2933 Southwest Wanamaker Road, Topeka",39.01353599999999,-95.76277420000001
66,The Big Biscuit,"2815 Southwest Wanamaker Road, Topeka",39.016173499999994,-95.762886
67,Gyroville Topeka,"2855 Southwest Wanamaker Road #4698, Topeka",39.0158277,-95.7629738
68,El Dorado Mexican Grille,"2919 Southwest Wanamaker Road, Topeka",39.0138096,-95.76470350000001
69,Jeremiah Bullfrogs,"2940 Southwest Wanamaker Road STE 130, Topeka",39.01343919999999,-95.7615585
70,Texas Roadhouse,"5901 Southwest Huntoon Street, Topeka",39.043023,-95.75904
71,Mizu Sushi,"1320 Southwest Ashworth Place, Topeka",39.04232940000001,-95.7585158
72,AJ's NY Pizzeria,"1930 Southwest Westport Drive, Topeka",39.03177549999999,-95.7562635
73,Perkins Restaurant & Bakery,"1720 Southwest Wanamaker Road, Topeka",39.0351831,-95.7615392
74,Subway,"5421 Southwest 21st Street, Topeka",39.02893220000001,-95.7475303
75,Panda Kitahen,"5826 Southwest 21st Street, Topeka",39.02973660000001,-95.756745
76,Yuki,"5632 Southwest 29th Street, Topeka",39.0153471,-95.7509066
77,Taco Casa,"5656 Southwest 29th Street, Topeka",39.015237899999995,-95.75192890000001
78,Amoco,"600 Southwest Fairlawn Road, Topeka",39.0579059,-95.74287109999999
79,Riegel's 20's West,"901 Southwest Fairlawn Road #101, Topeka",39.052310999999996,-95.7437201
80,Godfather's Pizza,"5300 Southwest 17th Street, Topeka",39.0377184,-95.7448213
81,China Pavilion,"5348 Southwest 17th Street, Topeka",39.0372578,-95.7456982
82,Taco Tico,"5222 Southwest 17th Street, Topeka",39.036834000000006,-95.744244
83,Kiku Japanese Steak House,"5331 Southwest 22nd Place #46, Topeka",39.02691799999999,-95.7457652
84,Lazy Toad,"5331 Southwest 22nd Place #2, Topeka",39.0265555,-95.7474147
85,El Mezcal III,"5301 Southwest 21st Street, Topeka",39.0288101,-95.7443946
86,Taco Villa,"5300 Southwest 21st Street A, Topeka",39.029807700000006,-95.7447197
87,McDonald's,"5525 Southwest 21st Street, Topeka",39.028822,-95.749259
88,Little Caesars Pizza,"5329 Southwest 21st Street, Topeka",39.028648,-95.746153
89,Wings Etc.,"2139 Southwest Fairlawn Plaza Drive, Topeka",39.0272973,-95.7468503
90,Hog Wild Pit Bar-B-Q,"5330 Southwest 21st Street, Topeka",39.02967719999999,-95.7457016
91,Pizagel's Pizza & Bakery,"2830 Southwest Fairlawn Road, Topeka",39.0152339,-95.7434052
92,Long John Silver's,"2746 Southwest Fairlawn Road, Topeka",39.016561100000004,-95.7432355
93,El Taquito Express,"5141 Southwest 29th Street, Topeka",39.014444399999995,-95.7430556
94,Hunam Chinese Restaurant,"5005 Southwest 29th Street, Topeka",39.0138696,-95.741102
95,SPIN! Pizza,"2811 Southwest Fairlawn Road suite a, Topeka",39.016342200000004,-95.74425809999998
96,Johnny's Tavern Topeka,"2821 Southwest Fairlawn Road, Topeka",39.016058,-95.744331
97,El Ranchito,"2800 Southwest Fairlawn Road, Topeka",39.01603120000001,-95.7432961
98,Amoco,"2836 Southwest Fairlawn Road, Topeka",39.015139000000005,-95.74334
99,Goodcents Deli Fresh Subs,"4210 Southwest 21st Street, Topeka",39.029675,-95.72848
100,Godfather's Pizza Express,"1811 Northwest Brickyard Road, Topeka",39.08299179999999,-95.72505229999999
101,Subway,"1811 Northwest Brickyard Road, Topeka",39.0823461,-95.7257297
102,Subway,"1151 Southwest Gage Boulevard, Topeka",39.047160700000006,-95.72508540000001
103,Paisano's Ristorante,"4043 Southwest 10th Avenue, Topeka",39.0493576,-95.72673410000002
104,Herman's Meat & Smokehouse,"2011 Southwest Huntoon Street, Topeka",39.0437085,-95.7291258
105,Marco's Pizza,"1401 Southwest Gage Boulevard, Topeka",39.041652,-95.725667
106,McDonald's,"1201 Southwest Gage Boulevard, Topeka",39.0453464,-95.7251899
107,Sonic Drive-In,"1221 Southwest Gage Boulevard, Topeka",39.0443654,-95.7253545
108,Annie's Place,"4014 Southwest Gage Center Drive, Topeka",39.043257700000005,-95.72683520000001
109,Papa Murphy's | Take 'N' Bake Pizza,"1035 South West, Southwest Gage Boulevard, Topeka",39.0496415,-95.725483
110,Wendy's,"1251 Southwest Gage Boulevard, Topeka",39.043250799999996,-95.7251966
111,Skinny's Sports Bar & Grill,"4016 Southwest Huntoon Street, Topeka",39.044487,-95.726668
112,Herman's Meat & Smokehouse,"4211 Southwest Huntoon Street, Topeka",39.0437002,-95.7290057
113,Glory Days Pizza - Fleming Place,"1033 Southwest Gage Boulevard, Topeka",39.04983199999999,-95.725465
114,Blackbird,"4025 Southwest 10th Avenue, Topeka",39.04985079999999,-95.7271385
115,Arby's,"1187 Southwest Gage Boulevard, Topeka",39.04607129999999,-95.72514220000001
116,Baking Traditions,"4036 Southwest Huntoon Street, Topeka",39.044173,-95.7267941
117,Los Charros,"4111 Southwest Gage Center Drive, Topeka",39.042607000000004,-95.7272163
118,Cook's American Grill,"1936 Southwest Gage Boulevard, Topeka",39.03184419999999,-95.7245643
119,Schlotzsky's,"2019 Southwest Gage Boulevard, Topeka",39.0305526,-95.7259309
120,Pizza Hut,"2119 Southwest Gage Boulevard, Topeka",39.028240800000006,-95.7252431
