,Name,Address,Latitude,Longitude
0,"Dog Day Afternoon, Inc.","8235 1/2 SW 10th Ave, Topeka",39.049552399999996,-95.8129291
1,Frye's Auto Repair Inc,"1320 Southwest Auburn Road, Topeka",39.0426958,-95.8159045
2,Ball Custom Kitchens,"1431 Southwest Auburn Road, Topeka",39.040745,-95.81758559999999
3,"Home Pet Care Veterinary Housecalls, Dr. Tom Schmar","4536 Southwest Auburn Road, Topeka",38.9846946,-95.81539240000001
4,Dollar General,"1420 North Washington Street, Auburn",38.9130918,-95.81747270000001
5,Hook's Service,United States,38.9137815,-95.8162865
6,Auburn Feed Co,"8430 Southwest Auburn Road, Auburn",38.9127881,-95.81649920000001
7,Thompson's Fireworks,"7934 Southwest 10th Avenue, Topeka",39.050827000000005,-95.80641800000001
8,Greer House Antiques,"3015 Southwest Lagito Drive, Topeka",39.0111409,-95.8067635
9,Cambridge Kitchen & Bath,"2025 Southwest Urish Road Suite 110, Topeka",39.0295984,-95.7816304
10,Electronic Life,"2025 Southwest Urish Road #106, Topeka",39.0295451,-95.7815314
11,K & K Liquor,"2025 Southwest Urish Road, Topeka",39.029764799999995,-95.781548
12,Casey's,"6741 Southwest 21st Street, Topeka",39.0286447,-95.779577
13,Family Video,"6749 Southwest 29th Street, Topeka",39.014031,-95.780372
14,Redbox,"6829 Southwest 29th Street, Topeka",39.013600700000005,-95.7824115
15,Dillons Pharmacy,"6829 Southwest 29th Street, Topeka",39.01329399999999,-95.78262420000001
16,Jayhawk Pharmacy and Patient Supply,"2860 Southwest Mission Woods Drive, Topeka",39.01505150000001,-95.7786608
17,Dillons Food Store,"6829 Southwest 29th Street, Topeka",39.013608399999995,-95.78255970000001
18,Davis Electric Construction,"2850 Southwest Mission Woods Drive, Topeka",39.0153708,-95.77874840000001
19,"Robert Exon, RPh",Topeka,39.0150824,-95.7796541
20,Starbucks,"6829 Southwest 29th Street, Topeka",39.013577000000005,-95.782656
21,Jayhawk Custom Pharmacy,Topeka,39.015002200000005,-95.77946700000001
22,Adventist Book Center,"3440 Southwest Urish Road, Topeka",39.00576849999999,-95.7804151
23,Karnex USA,"7021 Southwest Queens Court #4645, Topeka",39.0057963,-95.7863859
24,Nancy Goodall Designs,"6747 Southwest Sherwood Court, Topeka",39.003904399999996,-95.780796
25,Mad Eliza's Cakes & Confections,Topeka,39.0016264,-95.7820887
