Tract,Population,Housing Units
22,2467,1266
33.02,3835,1438
35,6491,2292
36.05,4408,1706
13,4261,1830
40,2868,1521
26.02,6641,3146
6,2259,1103
16.01,2826,1302
24,5894,3352
28,4006,2340
33.01,2859,1156
37,8827,3320
30.01,3315,1515
31,5290,2134
39.02,4429,1858
11,2781,1330
15,2040,1104
21,3289,1571
41,3785,2004
7,2799,1324
26.01,3633,1957
27.01,4489,2075
16.04,3630,1738
36.07,6448,2600
36.06,4830,2062
16.03,2852,1716
34,9728,3823
36.01,4897,1976
4,3977,2236
10,3619,1526
12,2253,927
19,3103,1481
25,3067,1472
27.02,4187,2039
29,3540,1338
36.04,3963,1588
5,1929,1445
9,3258,1494
18,3968,1591
30.02,5518,2134
39.01,6561,2425
8,3572,1603
