moe,name,Geocode,value
4159,Smith County Kansas,20183,43438
9500,Grant County Kansas,20067,55455
3993,Kingman County Kansas,20095,58483
4415,Nemaha County Kansas,20131,58644
4688,Pottawatomie County Kansas,20149,64657
3275,Cherokee County Kansas,20021,41103
2187,Butler County Kansas,20015,63272
5221,Lincoln County Kansas,20105,46196
3412,Sumner County Kansas,20191,54915
6910,Trego County Kansas,20195,56810
3337,Wilson County Kansas,20205,46208
4407,Woodson County Kansas,20207,34621
5672,Ness County Kansas,20135,51033
6994,Osborne County Kansas,20141,48355
1342,Bourbon County Kansas,20011,40733
8976,Hamilton County Kansas,20075,45000
4714,Kiowa County Kansas,20097,51336
1505,Shawnee County Kansas,20177,55199
5234,Sherman County Kansas,20181,52847
4452,Thomas County Kansas,20193,57478
2772,Montgomery County Kansas,20125,45173
6012,Morris County Kansas,20127,50352
6393,Rawlins County Kansas,20153,48125
2741,Rooks County Kansas,20163,50511
6765,Clark County Kansas,20025,50368
4498,Ellsworth County Kansas,20053,48188
4800,Harper County Kansas,20077,49455
3252,Russell County Kansas,20167,52806
3806,Lyon County Kansas,20111,44191
5011,Pawnee County Kansas,20145,42853
2726,Allen County Kansas,20001,42679
4100,Comanche County Kansas,20033,56912
2496,Elk County Kansas,20049,38494
3918,Gove County Kansas,20063,48894
2814,Harvey County Kansas,20079,56051
6908,Hodgeman County Kansas,20083,53854
5111,Kearny County Kansas,20093,51314
2935,Stafford County Kansas,20185,48563
3206,McPherson County Kansas,20113,57765
2577,Osage County Kansas,20139,55036
8034,Greeley County Kansas,20071,51250
3782,Coffey County Kansas,20031,58636
1415,Crawford County Kansas,20037,40174
4242,Ellis County Kansas,20051,52700
2875,Greenwood County Kansas,20073,42595
3485,Labette County Kansas,20099,47668
6469,Linn County Kansas,20107,43699
758, Sedgwick County Kansas,20173,54974
3239,Seward County Kansas,20175,47025
3895,Republic County Kansas,20157,48022
3891,Graham County Kansas,20065,40769
913, Johnson County Kansas,20091,84915
2064,Douglas County Kansas,20045,55832
9269,Sheridan County Kansas,20179,56071
4161,Miami County Kansas,20121,69150
2378,Gray County Kansas,20069,64426
13604, Wallace County Kansas,20199,58875
7837,Stevens County Kansas,20189,56507
3196,Washington County Kansas,20201,48889
2537,Chautauqua County Kansas,20019,38690
5114,Morton County Kansas,20129,43925
1352,Reno County Kansas,20155,49174
1835,Cloud County Kansas,20029,44143
3952,Doniphan County Kansas,20043,49338
5094,Haskell County Kansas,20081,53527
11522, Lane County Kansas,20101,51719
11173, Scott County Kansas,20171,71394
2996,Neosho County Kansas,20133,44294
3785,Brown County Kansas,20013,48547
1690,Phillips County Kansas,20147,48272
2479,Riley County Kansas,20161,49910
4161,Decatur County Kansas,20039,44104
2528,Jefferson County Kansas,20087,61793
3009,Jackson County Kansas,20085,55904
3191,Logan County Kansas,20109,51597
939, Wyandotte County Kansas,20209,44873
4532,Clay County Kansas,20027,56186
1520,Saline County Kansas,20169,50515
3941,Wabaunsee County Kansas,20197,60450
4006,Mitchell County Kansas,20123,45221
3855,Atchison County Kansas,20005,48667
3623,Finney County Kansas,20055,56573
2277,Leavenworth County Kansas,20103,71184
5581,Stanton County Kansas,20187,46726
3521,Meade County Kansas,20119,55568
3674,Pratt County Kansas,20151,54029
6396,Anderson County Kansas,20003,46274
2156,Geary County Kansas,20061,49185
2421,Ford County Kansas,20057,53072
2722,Marshall County Kansas,20117,50234
4595,Cheyenne County Kansas,20023,46833
1792,Cowley County Kansas,20035,48087
2842,Franklin County Kansas,20059,55486
5114,Jewell County Kansas,20089,42552
5615,Rice County Kansas,20159,50764
5387,Chase County Kansas,20017,46295
10866, Wichita County Kansas,20203,57566
4999,Norton County Kansas,20137,49891
2734,Barton County Kansas,20009,50198
3364,Edwards County Kansas,20047,49293
5471,Rush County Kansas,20165,40598
3013,Marion County Kansas,20115,51262
5974,Ottawa County Kansas,20143,51971
5019,Barber County Kansas,20007,50613
3545,Dickinson County Kansas,20041,48167
