name,opening_hours,price_level,id,scope,rating,types,plus_code,user_ratings_total,vicinity,place_id,business_status,geometry,photos,reference,icon
Baskin-Robbins,{'open_now': True},1,a1200628ba51783fb06778f93fefb5bdbcbea1a2,GOOGLE,4.6,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': '288X+54 Topeka, KS, United States', 'global_code': '86F6288X+54'}",135,"2837 Southeast California Avenue, Topeka",ChIJKSrJmawcv4cRrRTuSsnF4qg,OPERATIONAL,"{'location': {'lat': 39.015386, 'lng': -95.6521262}, 'viewport': {'northeast': {'lat': 39.0167292302915, 'lng': -95.65054136970849}, 'southwest': {'lat': 39.0140312697085, 'lng': -95.65323933029151}}}","[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111131626740753012570"">Melissa Fitzpatrick</a>'], 'photo_reference': 'CmRaAAAAi_tDHRhfkBf-28xiPUH0cwSXyLrhOlQN4Dcf-b0OqJYsU4GqMrr9dxd-CvvwTn1bYjBBeqxna1NR6hmesuqXJD-s9z9aB5hszijRulTJ6Uz59Rk1qOg_VA_sAafrqrA1EhARM1rAUhKnBwdW5q8LO0IVGhQJwyUUEsuLu6UwLXCfVR1UNqcQqQ', 'width': 3024}]",ChIJKSrJmawcv4cRrRTuSsnF4qg,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png
Baskin-Robbins,{'open_now': True},1,62d5a238094327872f2823967f1108efb4777dc5,GOOGLE,4.5,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': '27J9+2P Topeka, KS, United States', 'global_code': '86F627J9+2P'}",319,"4400 Southwest 21st Street, Topeka",ChIJQ7UXqWnAkIgR316ZVD1ki4c,OPERATIONAL,"{'location': {'lat': 39.0300252, 'lng': -95.7306572}, 'viewport': {'northeast': {'lat': 39.0310882302915, 'lng': -95.72930201970848}, 'southwest': {'lat': 39.0283902697085, 'lng': -95.73199998029149}}}","[{'height': 2934, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111901203152566447462"">funny girl</a>'], 'photo_reference': 'CmRaAAAAVmdVdA3_vddmlIOuWeB10OnjJ18DJuXtpoLYj4XArdvnF0L9RKSqKPHeScqSXTX59W-F4d0NPBFaL5UqsfmHBvuF9-RN_U-l7RN-6W6qt5e0ay1KY7LQKge2IVUB0iXuEhCZEWslrRE9ePh5EDwoyJnNGhQLoRSHyZ805HwglM5AerFgICKaXg', 'width': 5216}]",ChIJQ7UXqWnAkIgR316ZVD1ki4c,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png
Wheatfields Bakery Cafe,{'open_now': False},2,4e6dd9e05eada2af24b3a4276222dc06d22047fa,GOOGLE,4.7,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': 'XQ87+W6 Lawrence, KS, United States', 'global_code': '86C6XQ87+W6'}",880,"904 Vermont Street, Lawrence",ChIJOeGYLltvv4cRFQXi4Obzqpw,OPERATIONAL,"{'location': {'lat': 38.9673685, 'lng': -95.2369192}, 'viewport': {'northeast': {'lat': 38.9687169302915, 'lng': -95.23566171970849}, 'southwest': {'lat': 38.9660189697085, 'lng': -95.23835968029151}}}","[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115413696709061034050"">Wheatfields Bakery Cafe</a>'], 'photo_reference': 'CmRaAAAAjn5wnlGtPlr0AjCOAXiJS5K_mbGas1L2quWH6WQ4h_s_vrkGyLz1cc5xqrJK4q23TfBNSpxgsaXka7pJ-oyVM4JyZmqilw99KyUARQsV4Wve4LGMlSzLDgR3ODDA_XLFEhADI-3hvB_d5qgnteHmRU_nGhTo9g_GJmXX_ymxRSRUaJFM5AdGIQ', 'width': 4032}]",ChIJOeGYLltvv4cRFQXi4Obzqpw,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
Schlotzsky's,{'open_now': False},1,bf38a6ea48ccf0a340a7de63e70fc901f7cb8764,GOOGLE,4.2,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': '27JF+6J Topeka, KS, United States', 'global_code': '86F627JF+6J'}",608,"2019 Southwest Gage Boulevard, Topeka",ChIJ6RIfWqECv4cR3YVOImbmD64,OPERATIONAL,"{'location': {'lat': 39.0305526, 'lng': -95.7259309}, 'viewport': {'northeast': {'lat': 39.0319464802915, 'lng': -95.7244584697085}, 'southwest': {'lat': 39.0292485197085, 'lng': -95.7271564302915}}}","[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111140236423503890424"">Schlotzsky&#39;s</a>'], 'photo_reference': 'CmRaAAAAuA1DGFtptYSnUt30JMipktUziGmquTH93oYDV0hKkTDhgMofs-RD3yekagrzOMLhr9tSqyYSrJPZbTBvvHA698WE7U52t0hyhlROCA498Ac9CrfnAODzqIietLsDW1MuEhChvE4mxj5zvnrOYblRVSd0GhSAUCKeQiAOSR0VCxJSlzNxqiPwbg', 'width': 720}]",ChIJ6RIfWqECv4cR3YVOImbmD64,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
Panera Bread,{'open_now': False},2,ca230c73ea60c4fee50bd2efb615ab39133ca6b3,GOOGLE,4,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': 'WQV4+7P Lawrence, KS, United States', 'global_code': '86C6WQV4+7P'}",519,"520 West 23rd Street, Lawrence",ChIJnWpt4Llov4cRQ6q_KXJrUbk,OPERATIONAL,"{'location': {'lat': 38.9432384, 'lng': -95.2431361}, 'viewport': {'northeast': {'lat': 38.9444931302915, 'lng': -95.2417852697085}, 'southwest': {'lat': 38.9417951697085, 'lng': -95.24448323029151}}}","[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103362015459464842081"">Michael Neises</a>'], 'photo_reference': 'CmRaAAAA3lfM1Jwfnj-45Mm-NZHjZZGbuGBE97KVdqQT7oZsqSpRFiyDylsvr46vBPp-GsPCbHPfJ4X3sHU0ktx2TSgu_ZCdzogy1sow0UXN0dKuGBzuhLoK8eqoRR6MDesXdwHTEhD-8WLVTKE9Dz8bIE33gHjJGhSdvzi4U4tszOpHFVCTUtu2KkH0kw', 'width': 4032}]",ChIJnWpt4Llov4cRQ6q_KXJrUbk,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
Pizagel's Pizza & Bakery,{'open_now': False},,f62b735c9aa73d4438e152324208919d4ded1bac,GOOGLE,4.5,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': '2784+3J Topeka, KS, United States', 'global_code': '86F62784+3J'}",472,"2830 Southwest Fairlawn Road, Topeka",ChIJaeCb-0z9vocRvBx2dEQOgtE,OPERATIONAL,"{'location': {'lat': 39.0152339, 'lng': -95.7434052}, 'viewport': {'northeast': {'lat': 39.0165879302915, 'lng': -95.7422046197085}, 'southwest': {'lat': 39.0138899697085, 'lng': -95.74490258029151}}}","[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109613235506516409770"">William Buchan</a>'], 'photo_reference': 'CmRaAAAAjeLWO1zExcTV5Az7RNbIWGqNR3LBKlQHABsyD7kzsmdrjyiELdsuR50sozrDWZy7gI1lFZv8EH9E130xYTDPbdADrwJf046FZ2P6JB3oQhngXeLmou0wAVuAq5IJ1Wt2EhAfIfi_Bl6di8TLmrMttqChGhTICqsznb4x0nM8t9-91YvY0GPWyg', 'width': 3264}]",ChIJaeCb-0z9vocRvBx2dEQOgtE,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
Panera Bread,{'open_now': False},2,7b16cd898b54cc7879849f74cdbcb2b6a6e9e9e2,GOOGLE,4.2,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': '26RQ+93 Topeka, KS, United States', 'global_code': '86F626RQ+93'}",663,"1421 Southwest Wanamaker Road, Topeka",ChIJRw2onxr9vocRGqX6OSLw0bs,OPERATIONAL,"{'location': {'lat': 39.04092299999999, 'lng': -95.76226299999999}, 'viewport': {'northeast': {'lat': 39.04233363029149, 'lng': -95.76091236970849}, 'southwest': {'lat': 39.0396356697085, 'lng': -95.7636103302915}}}","[{'height': 1235, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107229803175175627145"">Ryan Purcell</a>'], 'photo_reference': 'CmRaAAAApk9VZIGclIc6QYK8pzKgt259a9KOttwAFV9fL2BdEax5pcwwrDR1Lew05RdV4_st5CKSGzRiwIhoLJAQteoPOIVYyjKgsgyQ_hFyBH4XQVE--VMj9EBVLsiH_S5I0gjuEhBR9EQXpkhU5ONS_CgcMOfIGhShU6nC4DaTFM6lm1SqCeS-vesKuA', 'width': 2048}]",ChIJRw2onxr9vocRGqX6OSLw0bs,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
Bimbo Baking Co,,2,320e71f13ade1c304a722754bce03706972bdbf2,GOOGLE,3.3,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': 'X8V3+R9 Topeka, KS, United States', 'global_code': '86C6X8V3+R9'}",3,"4100 Southwest Martin Drive # 1, Topeka",ChIJ_bxIdhgdv4cRQNlN6AcOX3g,OPERATIONAL,"{'location': {'lat': 38.9945371, 'lng': -95.6965266}, 'viewport': {'northeast': {'lat': 38.99588683029149, 'lng': -95.69542116970851}, 'southwest': {'lat': 38.9931888697085, 'lng': -95.69811913029152}}}",,ChIJ_bxIdhgdv4cRQNlN6AcOX3g,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
Rosita's Ruff Cakes LLC,,,30f360d8997b401c179d929a3d1007a857ec768e,GOOGLE,4.7,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': '48R5+8W Topeka, KS, United States', 'global_code': '86F648R5+8W'}",3,"5206 Northwest Courtland Drive, Topeka",ChIJS-aULlUAv4cRWpeBbfNn3A0,OPERATIONAL,"{'location': {'lat': 39.1408588, 'lng': -95.6901551}, 'viewport': {'northeast': {'lat': 39.1422075802915, 'lng': -95.68893521970848}, 'southwest': {'lat': 39.1395096197085, 'lng': -95.69163318029149}}}",,ChIJS-aULlUAv4cRWpeBbfNn3A0,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
Panderia Reynosa Bakery,{'open_now': False},,1b4f120d7f1775a2a74bbc553c139fae2bd29018,GOOGLE,4.6,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': '385W+J7 Topeka, KS, United States', 'global_code': '86F6385W+J7'}",14,"1200 Northeast Seward Avenue, Topeka",ChIJ55hSd3gDv4cRe4q0TzJGRFw,OPERATIONAL,"{'location': {'lat': 39.0590428, 'lng': -95.65426769999999}, 'viewport': {'northeast': {'lat': 39.0602855802915, 'lng': -95.65291811970849}, 'southwest': {'lat': 39.0575876197085, 'lng': -95.6556160802915}}}",,ChIJ55hSd3gDv4cRe4q0TzJGRFw,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
