,Name,Address,Latitude,Longitude
0,Mad Eliza's Cakes & Confections,Topeka,39.0016264,-95.7820887
1,Sam's Club Bakery,"1401 Southwest Wanamaker Road, Topeka",39.04149879999999,-95.76462509999999
2,Cold Stone Creamery,"1227 Southwest Wanamaker Road Ste 100, Topeka",39.0449945,-95.763936
3,Smallcakes Topeka,"1223 Southwest Wanamaker Road #300, Topeka",39.0449889,-95.7623443
4,Panera Bread,"1421 Southwest Wanamaker Road, Topeka",39.04092299999999,-95.762263
5,Walmart Bakery,"1501 Southwest Wanamaker Road, Topeka",39.039818800000006,-95.7645465
6,Perkins Restaurant & Bakery,"1720 Southwest Wanamaker Road, Topeka",39.0351831,-95.7615392
7,Bakers Dozen 17th,"5938 Southwest 17th Street #400, Topeka",39.0369924,-95.7601425
8,Cookies by Gayla,"1801 Southwest Wanamaker Road, Topeka",39.0324592,-95.7657713
9,Cookie Boutique,Topeka,39.0320586,-95.76627909999999
10,Kan You Say Oh Yum,"5745 Southwest 69th Street, Auburn",38.9419555,-95.7570257
11,Le Petit Bon Bon,"835 Southwest Fairlawn Road, Topeka",39.053254300000006,-95.74371049999999
12,Dillons Bakery,"5315 Southwest 22nd Place, Topeka",39.0265135,-95.74512059999999
13,Pizagel's Pizza & Bakery,"2830 Southwest Fairlawn Road, Topeka",39.0152339,-95.7434052
14,Baskin-Robbins,"4400 Southwest 21st Street, Topeka",39.0300252,-95.7306572
15,Daylight Donuts,"4201 Southwest 21st Street, Topeka",39.0291405,-95.7280502
16,Dillons Bakery,"4015 Southwest 10th Avenue, Topeka",39.0506936,-95.72750359999999
17,Baking Traditions,"4036 Southwest Huntoon Street, Topeka",39.044173,-95.72679409999999
18,Schlotzsky's,"2019 Southwest Gage Boulevard, Topeka",39.0305526,-95.7259309
19,Dunkin',"4009 Southwest 21st Street, Topeka",39.0291848,-95.7269628
20,Baker's Dozen 6th Street,"2601 Southwest 6th Avenue, Topeka",39.0583399,-95.7073852
21,Walmart Bakery,"335 Southwest Macvicar Avenue, Topeka",39.0599126,-95.70834909999999
22,Josey Baking Co.,"3119 Southwest Huntoon Street, Topeka",39.04379429999999,-95.7162539
23,Simply Sarah's Catering,"1518 Southwest 41st Street, Topeka",38.99571299999999,-95.698132
24,Paradise Donuts,"1620 Southwest 6th Avenue, Topeka",39.05793120000001,-95.6953878
25,Roxie's Donut Dive & Coffee,"1440 Southwest Huntoon Street, Topeka",39.0447563,-95.6962909
26,Bimbo Baking Co,"4100 Southwest Martin Drive # 1, Topeka",38.9945371,-95.6965266
27,Walmart Bakery,"1301 Southwest 37th Street, Topeka",38.9988477,-95.6943546
28,Schlotzsky's,"400 Southwest 29th Street Z, Topeka",39.0161677,-95.68697829999999
29,Scooter's Coffee,"2909 Southwest Topeka Boulevard, Topeka",39.0137953,-95.68805859999999
30,Walmart Bakery,"2600 Northwest Rochester Road, Topeka",39.0936964,-95.6717619
31,Shana Cake,"435 South Kansas Avenue, Topeka",39.05337700000001,-95.672933
32,Daylight Donuts,"1001 Southeast Quincy Street, Topeka",39.0454427,-95.6746954
33,El Torito Topeka,"3000 Northwest Topeka Boulevard, Topeka",39.10058400000001,-95.6630364
34,Paradise Donuts North,"2037 Northwest Topeka Boulevard, Topeka",39.0871094,-95.66543349999999
35,Baker's Dozen Donuts North,"1949 Northwest Topeka Boulevard, Topeka",39.08469259999999,-95.6660319
36,Panderia Reynosa Bakery,"1200 Northeast Seward Avenue, Topeka",39.05904279999999,-95.6542677
37,Baskin-Robbins,"2837 Southeast California Avenue, Topeka",39.015386,-95.6521262
38,Walmart Bakery,"2630 Southeast California Avenue, Topeka",39.0205912,-95.6485077
39,Marlene Bakery,"1925 Northeast Seward Avenue, Topeka",39.0586319,-95.64494909999999
40,Panaderia Monterrey,"3154 Southeast 6th Avenue, Topeka",39.0456019,-95.6352172
41,Ball Custom Kitchens,"1431 Southwest Auburn Road, Topeka",39.040745,-95.8175856
42,Dollar General,"1420 North Washington Street, Auburn",38.9130918,-95.8174727
43,Greer House Antiques,"3015 Southwest Lagito Drive, Topeka",39.0111409,-95.8067635
44,Cambridge Kitchen & Bath,"2025 Southwest Urish Road Suite 110, Topeka",39.0295984,-95.7816304
45,Davis Electric Construction,"2850 Southwest Mission Woods Drive, Topeka",39.0153708,-95.7787484
46,Menards,"6401 Southwest 17th Street, Topeka",39.03508749999999,-95.7714004
47,Lowe's Home Improvement,"1621 Southwest Arvonia Place, Topeka",39.0375402,-95.7680397
48,Wild Bird House,"2901 Southwest 29th Street, Topeka",39.0142492,-95.7759416
49,Sarre Side Studios,"Gewerbegebiet BAB1 Am Schaumberg, 66636 Theley",39.05785180000001,-95.764922
50,JOANN Fabrics and Crafts,"1133 Southwest Wanamaker Road Ste 200, Topeka",39.04617390000001,-95.7640526
51,Sleep Number,"1191 Southwest Wanamaker Road Suite A, Topeka",39.0461251,-95.76215479999999
52,Factory Direct Appliance,"1040 Southwest Wanamaker Road, Topeka",39.04914249999999,-95.7606364
53,Best Buy,"1600 Southwest Wanamaker Road, Topeka",39.0376265,-95.7608742
54,JCPenney,"1821 Southwest Wanamaker Road, Topeka",39.0328446,-95.7657039
55,Walmart Supercenter,"1501 Southwest Wanamaker Road, Topeka",39.0398354,-95.7646231
56,Dillard's,"1791 Southwest Wanamaker Road, Topeka",39.0336937,-95.7643793
57,Walmart Photo Center,"1501 Southwest Wanamaker Road, Topeka",39.039818800000006,-95.7645465
58,Bath & Body Works,"1801 Southwest Wanamaker Road, Topeka",39.03339729999999,-95.7667496
59,Hot Topic,"1801 Southwest Wanamaker Road STE G20, Topeka",39.03265529999999,-95.7663738
60,Hobby Lobby,"1900 Southwest Wanamaker Road, Topeka",39.0337954,-95.7597564
61,"The Mattress Hub Topeka, KS","1580 Southwest Wanamaker Road, Topeka",39.0379458,-95.76054549999999
62,Mattress Headquarters,"1901 Southwest Wanamaker Road suite e, Topeka",39.03123860000001,-95.76620799999999
63,Mattress Firm Clearance,"1540 Southwest Wanamaker Road, Topeka",39.0388234,-95.7612401
64,Bed Bath & Beyond,"1900 Southwest Wanamaker Road, Topeka",39.0333652,-95.7607064
65,Spectrum Paint,"1550 Southwest Wanamaker Road #100c, Topeka",39.0390034,-95.7603749
66,Kirkland's,"1801 SW Wanamaker Rd Suite C06b, Topeka",39.03203389999999,-95.7660808
67,RoomMakers,"1901 Southwest Wanamaker Road, Topeka",39.0313365,-95.7662103
68,Slumberland Furniture - Topeka,"1800 Southwest Wanamaker Road, Topeka",39.0345374,-95.7591509
69,Discovery Furniture,"1901 Southwest Wanamaker Road, Topeka",39.03136579999999,-95.7658163
