,Name,Address,Latitude,Longitude
0,Breakers,"8249 Southwest 10th Avenue, Topeka",39.0495123,-95.8144129
1,Breaker's Sports Bar & Grill,"8249 Southwest 10th Avenue, Topeka",39.0495099,-95.81439879999999
2,Breaker's Sports Bar & Grill,"8249 Southwest 10th Avenue, Topeka",39.0495099,-95.81439879999999
3,Breakers,"8249 Southwest 10th Avenue, Topeka",39.0495123,-95.8144129
4,Days inn,"7015 Southwest 10th Avenue, Topeka",39.04527700000001,-95.78561499999999
5,Days inn,"7015 Southwest 10th Avenue, Topeka",39.04527700000001,-95.78561499999999
6,Tailgators Sports Pub & Grub,"2025 Southwest Urish Road #1335, Topeka",39.0293081,-95.7817493
7,Tailgators Sports Pub & Grub,"2025 Southwest Urish Road #1335, Topeka",39.0293081,-95.7817493
8,Hooters,"6100 Southwest 10th Avenue, Topeka",39.0512823,-95.7633761
9,Old Chicago,"1231 Southwest Wanamaker Road, Topeka",39.0443815,-95.76365659999999
10,Buffalo Wild Wings,"1227 Southwest Wanamaker Road #400, Topeka",39.0449945,-95.763936
11,QDOBA Mexican Eats,"1025 Southwest Wanamaker Road Suite A, Topeka",39.0490453,-95.7622721
12,Applebee's Grill + Bar,"5928 Southwest 17th Street, Topeka",39.036829,-95.759485
13,Jose Pepper's,"1425 Southwest Wanamaker Road, Topeka",39.0406801,-95.7622471
14,Old Chicago,"1231 Southwest Wanamaker Road, Topeka",39.0443815,-95.76365659999999
15,LongHorn Steakhouse,"1915 Southwest Wanamaker Road, Topeka",39.0323478,-95.7627144
16,Buffalo Wild Wings,"1227 Southwest Wanamaker Road #400, Topeka",39.0449945,-95.763936
17,Olive Garden Italian Restaurant,"1925 Southwest Wanamaker Road, Topeka",39.031297,-95.76282979999999
18,Red Lobster,"2011 Southwest Wanamaker Road, Topeka",39.03036,-95.76274
19,LongHorn Steakhouse,"1915 Southwest Wanamaker Road, Topeka",39.0323478,-95.7627144
20,Chili's Grill & Bar,"2021 Southwest Wanamaker Road, Topeka",39.02985090000001,-95.7629426
21,Texas Roadhouse,"5901 Southwest Huntoon Street, Topeka",39.043023,-95.75904
22,Hooters,"6100 Southwest 10th Avenue, Topeka",39.0512823,-95.7633761
23,QDOBA Mexican Eats,"1025 Southwest Wanamaker Road Suite A, Topeka",39.0490453,-95.7622721
24,Buffalo Wild Wings,"1227 Southwest Wanamaker Road #400, Topeka",39.0449945,-95.763936
25,Old Chicago,"1231 Southwest Wanamaker Road, Topeka",39.0443815,-95.76365659999999
26,Texas Roadhouse,"5901 Southwest Huntoon Street, Topeka",39.043023,-95.75904
27,Applebee's Grill + Bar,"5928 Southwest 17th Street, Topeka",39.036829,-95.759485
28,Jose Pepper's,"1425 Southwest Wanamaker Road, Topeka",39.0406801,-95.7622471
29,Olive Garden Italian Restaurant,"1925 Southwest Wanamaker Road, Topeka",39.031297,-95.76282979999999
30,Red Lobster,"2011 Southwest Wanamaker Road, Topeka",39.03036,-95.76274
31,Bar 'N Grill - Topeka,"2121 Southwest Belle Avenue #1745, Topeka",39.0278306,-95.7513
32,LongHorn Steakhouse,"1915 Southwest Wanamaker Road, Topeka",39.0323478,-95.7627144
33,Chili's Grill & Bar,"2021 Southwest Wanamaker Road, Topeka",39.02985090000001,-95.7629426
34,Glazed Goose,"5630 Southwest 29th Street, Topeka",39.015426,-95.750832
35,Riegel's 20's West,"901 Southwest Fairlawn Road #101, Topeka",39.052311,-95.74372009999999
36,Riegel's 20's West,"901 Southwest Fairlawn Road #101, Topeka",39.052311,-95.74372009999999
37,Dugout,"1545 Southwest Fairlawn Road, Topeka",39.03796,-95.7440567
38,Bar 'N Grill - Topeka,"2121 Southwest Belle Avenue #1745, Topeka",39.0278306,-95.7513
39,Lazy Toad,"5331 Southwest 22nd Place #2, Topeka",39.0265555,-95.7474147
40,Wings Etc.,"2139 Southwest Fairlawn Plaza Drive, Topeka",39.0272973,-95.74685029999999
41,Glazed Goose,"5630 Southwest 29th Street, Topeka",39.015426,-95.750832
42,Johnny's Tavern Topeka,"2821 Southwest Fairlawn Road, Topeka",39.016058,-95.744331
43,Riegel's 20's West,"901 Southwest Fairlawn Road #101, Topeka",39.052311,-95.74372009999999
44,Dugout,"1545 Southwest Fairlawn Road, Topeka",39.03796,-95.7440567
45,Johnny's Tavern Topeka,"2821 Southwest Fairlawn Road, Topeka",39.016058,-95.744331
46,Watkin's Liquor,"4006 Southwest Huntoon Street, Topeka",39.0443162,-95.7265333
47,Skinny's Sports Bar & Grill,"4016 Southwest Huntoon Street, Topeka",39.044487,-95.72666799999999
48,Watkin's Liquor,"4006 Southwest Huntoon Street, Topeka",39.0443162,-95.7265333
49,Skinny's Sports Bar & Grill,"4016 Southwest Huntoon Street, Topeka",39.044487,-95.72666799999999
50,Specks Bar & Grill,"2105 Southwest Mission Avenue, Topeka",39.029231,-95.726354
51,Last Call Lounge,"3110 Southwest Huntoon Street, Topeka",39.0444872,-95.71629039999999
52,Last Call Lounge,"3110 Southwest Huntoon Street, Topeka",39.0444872,-95.71629039999999
53,Hop’s Hops,"1625 Southwest High Avenue, Topeka",39.0374041,-95.70880079999999
54,Ryan's Pub,"2910 Southwest Oakley Avenue ste d, Topeka",39.0139746,-95.7154705
55,4 Guys Bar & Grill,"2835 Southwest 29th Street, Topeka",39.0141338,-95.7140307
56,Ryan's Pub,"2910 Southwest Oakley Avenue ste d, Topeka",39.0139746,-95.7154705
57,4 Guys Bar & Grill,"2835 Southwest 29th Street, Topeka",39.0141338,-95.7140307
58,Spitz Planetarium,Topeka,39.0359217,-95.6991242
59,Hop’s Hops,"1625 Southwest High Avenue, Topeka",39.0374041,-95.70880079999999
60,4 Guys Bar & Grill,"2835 Southwest 29th Street, Topeka",39.0141338,-95.7140307
61,The Boobie Trap Bar,"1417 Southwest 6th Avenue, Topeka",39.0566138,-95.6928083
62,Spitz Planetarium,Topeka,39.0359217,-95.6991242
63,The Burger Stand at College Hill,"1601 Southwest Lane Street, Topeka",39.038575,-95.6964656
64,Oscar's,"1424 Southwest Lane Street, Topeka",39.0402082,-95.6954224
65,Henry T's,"1521 Southwest 21st Street, Topeka",39.029094,-95.696444
66,Topeka Hookah House,"1507 Southwest 21st Street, Topeka",39.028364,-95.695714
67,The Spot Tavern,"2202 Southwest Buchanan Street, Topeka",39.0278427,-95.6924447
68,Abigail's Grill & Bar,"3701 Southwest Plaza Drive, Topeka",39.0002234,-95.69211659999999
69,Victoria's,"5011 Southwest Topeka Boulevard, Topeka",38.9766321,-95.68811260000001
70,The Flamingo Bar & Grill,"2335 Northwest Clay Street, Topeka",39.0926492,-95.6791185
71,Mr Lucky's LLC,"2335 Northwest Clay Street, Topeka",39.0926357,-95.67910099999999
72,The Boobie Trap Bar,"1417 Southwest 6th Avenue, Topeka",39.0566138,-95.6928083
73,Terry's Bar & Grill,"522 Southwest 6th Avenue, Topeka",39.0537917,-95.68011589999999
74,Water's Edge Lounge,"1717 Southwest Topeka Boulevard, Topeka",39.0353767,-95.6851176
75,Oscar's,"1424 Southwest Lane Street, Topeka",39.0402082,-95.6954224
76,The Spot Tavern,"2202 Southwest Buchanan Street, Topeka",39.0278427,-95.6924447
77,Topeka Hookah House,"1507 Southwest 21st Street, Topeka",39.028364,-95.695714
78,Water's Edge Lounge,"1717 Southwest Topeka Boulevard, Topeka",39.0353767,-95.6851176
79,Blind Tiger Brewery & Restaurant,"417 Southwest 37th Street, Topeka",39.000296,-95.684699
80,Abigail's Grill & Bar,"3701 Southwest Plaza Drive, Topeka",39.0002234,-95.69211659999999
81,45th Street,"4601 S Southwest Topeka Boulevard, Topeka",38.9836969,-95.6881408
82,Boulevard Billiards,"4700 Southwest Topeka Boulevard, Topeka",38.9823668,-95.687131
83,Victoria's,"5011 Southwest Topeka Boulevard, Topeka",38.9766321,-95.68811260000001
84,Boulevard Billiards,"4700 Southwest Topeka Boulevard, Topeka",38.9823668,-95.687131
85,45th Street,"4601 S Southwest Topeka Boulevard, Topeka",38.9836969,-95.6881408
86,The Flamingo Bar & Grill,"2335 Northwest Clay Street, Topeka",39.0926492,-95.6791185
87,Mr Lucky's LLC,"2335 Northwest Clay Street, Topeka",39.0926357,-95.67910099999999
88,Mr Lucky's LLC,"2335 Northwest Clay Street, Topeka",39.0926357,-95.67910099999999
89,The Flamingo Bar & Grill,"2335 Northwest Clay Street, Topeka",39.0926492,-95.6791185
90,Gayle's,"600 Northwest Paramore Street, Topeka",39.076664,-95.671847
91,Gayle's Bar,"600 Northwest Paramore Street, Topeka",39.07670030000001,-95.671803
92,Terry's Bar & Grill,"522 Southwest 6th Avenue, Topeka",39.0537917,-95.68011589999999
93,The Celtic Fox,"118 Southwest 8th Avenue # 202, Topeka",39.0494118,-95.67551449999999
94,Terry's Bar & Grill,"522 Southwest 6th Avenue, Topeka",39.0537917,-95.68011589999999
95,The Pennant,"915 South Kansas Avenue, Topeka",39.04681179999999,-95.6757564
96,Brew Bank Topeka,"822 South Kansas Avenue, Topeka",39.0477092,-95.6743304
97,Axe & Ale,"115th Southeast 6th Avenue, Topeka",39.0512178,-95.67254539999999
98,Blind Tiger Brewery & Restaurant,"417 Southwest 37th Street, Topeka",39.000296,-95.684699
99,Kickstart Saloon,"2521 North Kansas Avenue #1418, Topeka",39.093069,-95.66044099999999
100,Kickstart Saloon,"2521 North Kansas Avenue #1418, Topeka",39.093069,-95.66044099999999
101,Wellers Grill & Bar,"222 Northwest Independence Avenue, Topeka",39.085083,-95.66328759999999
102,Cg's Lounge,"407 Northwest Lyman Road, Topeka",39.08719899999999,-95.66699
103,Gayle's Bar,"600 Northwest Paramore Street, Topeka",39.07670030000001,-95.671803
104,Gayle's,"600 Northwest Paramore Street, Topeka",39.076664,-95.671847
105,Wellers Grill & Bar,"222 Northwest Independence Avenue, Topeka",39.085083,-95.66328759999999
106,Studio 62 Art Bar,"816 North Kansas Avenue, Topeka",39.0665857,-95.66664569999999
107,J&J's Brew & Brew Gallery Bar,"917 North Kansas Avenue, Topeka",39.06830199999999,-95.6663719
108,The Wheel Barrel,"925 North Kansas Avenue, Topeka",39.0685499,-95.66621599999999
109,Axe & Ale,"115th Southeast 6th Avenue, Topeka",39.0512178,-95.67254539999999
110,The Celtic Fox,"118 Southwest 8th Avenue # 202, Topeka",39.0494118,-95.67551449999999
111,Brew Bank Topeka,"822 South Kansas Avenue, Topeka",39.0477092,-95.6743304
112,Garage Bar,"910 1/2 Southeast 41st Terrace, Topeka",38.9929313,-95.6666582
113,Garage Bar,"910 1/2 Southeast 41st Terrace, Topeka",38.9929313,-95.6666582
114,Kickstart Saloon,"2521 North Kansas Avenue #1418, Topeka",39.093069,-95.66044099999999
115,Kickstart Saloon,"2521 North Kansas Avenue #1418, Topeka",39.093069,-95.66044099999999
116,Wellers Grill & Bar,"222 Northwest Independence Avenue, Topeka",39.085083,-95.66328759999999
117,Heathers Bar And Grill,"1093201002002000, Topeka",39.0586707,-95.6519009
118,Brass Rail Tavern,"401 Northeast Emmett Street, Topeka",39.05894859999999,-95.6500753
119,KNJ's Sports Bar,"1909 Northeast Seward Avenue, Topeka",39.0585533,-95.64524109999999
120,Brass Rail Tavern,"401 Northeast Emmett Street, Topeka",39.05894859999999,-95.6500753
121,Heathers Bar And Grill,"1093201002002000, Topeka",39.0586707,-95.6519009
122,KNJ's Sports Bar,"1909 Northeast Seward Avenue, Topeka",39.0585533,-95.64524109999999
123,The Shack II,"2842 Southeast 29th Street, Topeka",39.0163009,-95.6316753
124,The Shack II,"2842 Southeast 29th Street, Topeka",39.0163009,-95.6316753
125,The Landing Grille & Bar,"2920 Southeast Croco Road, Topeka",39.013794,-95.613337
126,The Landing Grille & Bar,"2920 Southeast Croco Road, Topeka",39.013794,-95.613337
127,The Landing Grille & Bar,"2920 Southeast Croco Road, Topeka",39.013794,-95.613337
