,Name,Address,Latitude,Longitude
0,Starbucks,"6829 Southwest 29th Street, Topeka",39.013577,-95.78265599999999
1,Starbucks,"6829 Southwest 29th Street, Topeka",39.013577,-95.78265599999999
2,Star bucks,"Southwest 17th Street, Topeka",39.0363353,-95.7706111
3,Starbucks,"6829 Southwest 29th Street, Topeka",39.013577,-95.78265599999999
4,Starbucks,"6829 Southwest 29th Street, Topeka",39.013577,-95.78265599999999
5,Starbucks,"1223 Southwest Wanamaker Road #400, Topeka",39.044939,-95.762249
6,Sam's Club Cafe,"1401 Southwest Wanamaker Road, Topeka",39.0414988,-95.76462509999999
7,Barnes & Noble,"6130 Southwest 17th Street, Topeka",39.03771709999999,-95.76456069999999
8,Panera Bread,"1421 Southwest Wanamaker Road, Topeka",39.04092299999999,-95.76226299999999
9,Cafe Barnabas,"1801 Southwest Wanamaker Road, Topeka",39.0330804,-95.7664557
10,McDonald's,"1640 Southwest Wanamaker Road, Topeka",39.03687159999999,-95.7611625
11,Sam's Club Cafe,"1401 Southwest Wanamaker Road, Topeka",39.0414988,-95.76462509999999
12,Star bucks,"Southwest 17th Street, Topeka",39.0363353,-95.7706111
13,Cafe Barnabas,"1801 Southwest Wanamaker Road, Topeka",39.0330804,-95.7664557
14,Caribou Coffee,"2951 Southwest Wanamaker Road, Topeka",39.0125475,-95.7640287
15,Starbucks,"3020 Southwest Wanamaker Road, Topeka",39.0128636,-95.76188839999999
16,McDonald's,"2933 Southwest Wanamaker Road, Topeka",39.01353599999999,-95.7627742
17,Caribou Coffee,"2951 Southwest Wanamaker Road, Topeka",39.0125475,-95.7640287
18,Starbucks,"3020 Southwest Wanamaker Road, Topeka",39.0128636,-95.76188839999999
19,McDonald's,"2933 Southwest Wanamaker Road, Topeka",39.01353599999999,-95.7627742
20,Starbucks,"1223 Southwest Wanamaker Road #400, Topeka",39.044939,-95.762249
21,Barnes & Noble,"6130 Southwest 17th Street, Topeka",39.03771709999999,-95.76456069999999
22,Panera Bread,"1421 Southwest Wanamaker Road, Topeka",39.04092299999999,-95.76226299999999
23,McDonald's,"1640 Southwest Wanamaker Road, Topeka",39.03687159999999,-95.7611625
24,Sam's Club Cafe,"1401 Southwest Wanamaker Road, Topeka",39.0414988,-95.76462509999999
25,McDonald's,"5525 Southwest 21st Street, Topeka",39.028822,-95.749259
26,Judees Coffee,"2111 Southwest Chelsea Drive #1756, Topeka",39.02812979999999,-95.7492439
27,The Steam Engine,"5660 Southwest 29th Street, Topeka",39.0150341,-95.7520608
28,Starbucks,"3020 Southwest Wanamaker Road, Topeka",39.0128636,-95.76188839999999
29,McDonald's,"2933 Southwest Wanamaker Road, Topeka",39.01353599999999,-95.7627742
30,Starbucks,"3020 Southwest Wanamaker Road, Topeka",39.0128636,-95.76188839999999
31,Caribou Coffee,"2951 Southwest Wanamaker Road, Topeka",39.0125475,-95.7640287
32,McDonald's,"2933 Southwest Wanamaker Road, Topeka",39.01353599999999,-95.7627742
33,Le Petit Bon Bon,"835 Southwest Fairlawn Road, Topeka",39.05325430000001,-95.74371049999999
34,Le Petit Bon Bon,"835 Southwest Fairlawn Road, Topeka",39.05325430000001,-95.74371049999999
35,Starbucks,"5311 Southwest 22nd Place, Topeka",39.02691100000001,-95.744572
36,Classic Bean,"2125 Southwest Fairlawn Road, Topeka",39.0279228,-95.7468126
37,McDonald's,"5525 Southwest 21st Street, Topeka",39.028822,-95.749259
38,Judees Coffee,"2111 Southwest Chelsea Drive #1756, Topeka",39.02812979999999,-95.7492439
39,The Steam Engine,"5660 Southwest 29th Street, Topeka",39.0150341,-95.7520608
40,PT's at Wheatfield Village,"2811 Southwest Fairlawn Road ste c, Topeka",39.0163422,-95.7442581
41,Starbucks,"5311 Southwest 22nd Place, Topeka",39.02691100000001,-95.744572
42,PT's at Wheatfield Village,"2811 Southwest Fairlawn Road ste c, Topeka",39.0163422,-95.7442581
43,McDonald's,"1201 Southwest Gage Boulevard, Topeka",39.0453464,-95.72518989999999
44,Starbucks,"4015 Southwest 10th Street, Topeka",39.050484,-95.727159
45,Blackbird,"4025 Southwest 10th Avenue, Topeka",39.04985079999999,-95.7271385
46,Baking Traditions,"4036 Southwest Huntoon Street, Topeka",39.044173,-95.72679409999999
47,Baking Traditions,"4036 Southwest Huntoon Street, Topeka",39.044173,-95.72679409999999
48,McDonald's,"1201 Southwest Gage Boulevard, Topeka",39.0453464,-95.72518989999999
49,Dunkin',"4009 Southwest 21st Street, Topeka",39.0291848,-95.7269628
50,Dialogue Coffee House,"4009 Southwest 29th Street, Topeka",39.01443020000001,-95.7277967
51,Dialogue Coffee House,"4009 Southwest 29th Street, Topeka",39.01443020000001,-95.7277967
52,CoffeeHead,"3101 Southwest 29th Street suite b, Topeka",39.0147103,-95.71662669999999
53,SoulFire Nutrition,"2839 Southwest 29th Street Brookwood Shopping Center, Topeka",39.0140509,-95.71391129999999
54,SoulFire Nutrition,"2839 Southwest 29th Street Brookwood Shopping Center, Topeka",39.0140509,-95.71391129999999
55,CoffeeHead,"3101 Southwest 29th Street suite b, Topeka",39.0147103,-95.71662669999999
56,Study Grounds,"1800 Southwest 19th Street, Topeka",39.033732,-95.7022111
57,Study Grounds,"1800 Southwest 19th Street, Topeka",39.033732,-95.7022111
58,SoulFire Nutrition,"2839 Southwest 29th Street Brookwood Shopping Center, Topeka",39.0140509,-95.71391129999999
59,Paradise Donuts,"1620 Southwest 6th Avenue, Topeka",39.0579312,-95.69538779999999
60,Study Grounds,"1800 Southwest 19th Street, Topeka",39.033732,-95.7022111
61,World Cup Espresso,"1501 Southwest 21st Street, Topeka",39.029025,-95.69568609999999
62,Study Grounds,"1800 Southwest 19th Street, Topeka",39.033732,-95.7022111
63,McDonald's,"3117 South Topeka Avenue, Topeka",39.0112447,-95.68844949999999
64,Paradise Donuts,"1620 Southwest 6th Avenue, Topeka",39.0579312,-95.69538779999999
65,World Cup Espresso,"1501 Southwest 21st Street, Topeka",39.029025,-95.69568609999999
66,Scooter's Coffee,"2909 Southwest Topeka Boulevard, Topeka",39.0137953,-95.68805859999999
67,McDonald's,"3117 South Topeka Avenue, Topeka",39.0112447,-95.68844949999999
68,Scooter's Coffee,"2909 Southwest Topeka Boulevard, Topeka",39.0137953,-95.68805859999999
69,Banjo's Cafe,"5824 Southwest Topeka Boulevard, Topeka",38.961829,-95.686816
70,Banjo's Cafe,"5824 Southwest Topeka Boulevard, Topeka",38.961829,-95.686816
71,PrairieFire Coffe Roasters,"536 Northwest Tyler Court, Topeka",39.0807845,-95.67122769999999
72,McDonald's,"1100 South Kansas Avenue, Topeka",39.04384870000001,-95.6761949
73,Juli's Coffee and Bistro,"110 Southeast 8th Avenue, Topeka",39.0489179,-95.67363639999999
74,Bwell Market,"600 Southeast Quincy Street, Topeka",39.05082489999999,-95.6715071
75,Classic Bean,"722 South Kansas Avenue, Topeka",39.0493139,-95.6738594
76,Hanover Pancake House,"1034 South Kansas Avenue, Topeka",39.0446827,-95.6756686
77,Jayhawk Corner Cafe,"700 SW Jackson St # Lby, Topeka",39.050391,-95.67504509999999
78,Townsite Cafe & Catering,"120 E. 6th Avenue Suite 3-136, Topeka",39.05235819999999,-95.6714178
79,McDonald's,"1100 South Kansas Avenue, Topeka",39.04384870000001,-95.6761949
80,Hanover Pancake House,"1034 South Kansas Avenue, Topeka",39.0446827,-95.6756686
