,Name,Address,Latitude,Longitude
0,K & K Liquor,"2025 Southwest Urish Road, Topeka",39.0297648,-95.781548
1,K & K Liquor,"2025 Southwest Urish Road, Topeka",39.0297648,-95.781548
2,EJ's Liquor Barn,"1001 Southwest Wanamaker Road, Topeka",39.0503719,-95.76203579999999
3,Hy-Vee,"2951 Southwest Wanamaker Road, Topeka",39.01251500000001,-95.76383
4,Devlin's Liquor Store,"2850 Southwest Wanamaker Road, Topeka",39.0151385,-95.7617222
5,Hy-Vee,"2951 Southwest Wanamaker Road, Topeka",39.01251500000001,-95.76383
6,EJ's Liquor Barn,"1001 Southwest Wanamaker Road, Topeka",39.0503719,-95.76203579999999
7,Devlin's Liquor Store,"2850 Southwest Wanamaker Road, Topeka",39.0151385,-95.7617222
8,Meyer's Wine & Spirits,"5610 Southwest 29th Street, Topeka",39.01497519999999,-95.75054209999999
9,Hy-Vee,"2951 Southwest Wanamaker Road, Topeka",39.01251500000001,-95.76383
10,Reeb's Retail Liquor,"901 Southwest Fairlawn Road, Topeka",39.0527563,-95.7437236
11,Reeb's Retail Liquor,"901 Southwest Fairlawn Road, Topeka",39.0527563,-95.7437236
12,Jacs Liquor,"5200 Southwest 21st Street, Topeka",39.029705,-95.74416099999999
13,Oak & Vine,"5331 Southwest 22nd Place Suite, Topeka",39.0265163,-95.7464048
14,Meyer's Wine & Spirits,"5610 Southwest 29th Street, Topeka",39.01497519999999,-95.75054209999999
15,Meyer's Wine & Spirits,"5610 Southwest 29th Street, Topeka",39.01497519999999,-95.75054209999999
16,Reeb's Retail Liquor,"901 Southwest Fairlawn Road, Topeka",39.0527563,-95.7437236
17,Jacs Liquor,"5200 Southwest 21st Street, Topeka",39.029705,-95.74416099999999
18,Devlins Wine & Spirits,"4301 Southwest 21st Street #103, Topeka",39.0290152,-95.7291836
19,Lynn's Liquors - 17% off Wedding Reception Wine & Liquor,"3335 Southwest Gage Boulevard, Topeka",39.0068699,-95.73079469999999
20,Vern's Retail Liquor,"3700 Southwest Gage Boulevard, Topeka",38.9999049,-95.72948699999999
21,Watkin's Liquor,"4006 Southwest Huntoon Street, Topeka",39.0443162,-95.7265333
22,Fleming Place Wine & Spirits,"4001 Southwest 10th Avenue, Topeka",39.050814,-95.7271572
23,Watkin's Liquor,"4006 Southwest Huntoon Street, Topeka",39.0443162,-95.7265333
