,Name,Address,Latitude,Longitude
0,Starbucks,"6829 Southwest 29th Street, Topeka",39.013577000000005,-95.782656
1,Star bucks,"Southwest 17th Street, Topeka",39.0363353,-95.7706111
2,Starbucks,"1223 Southwest Wanamaker Road #400, Topeka",39.044939,-95.762249
3,Sam's Club Cafe,"1401 Southwest Wanamaker Road, Topeka",39.04149879999999,-95.7646251
4,Barnes & Noble,"6130 Southwest 17th Street, Topeka",39.03771709999999,-95.7645607
5,Panera Bread,"1421 Southwest Wanamaker Road, Topeka",39.04092299999999,-95.762263
6,Cafe Barnabas,"1801 Southwest Wanamaker Road, Topeka",39.0330804,-95.76645570000001
7,McDonald's,"1640 Southwest Wanamaker Road, Topeka",39.03687159999999,-95.7611625
8,Caribou Coffee,"2951 Southwest Wanamaker Road, Topeka",39.0125475,-95.7640287
9,Starbucks,"3020 Southwest Wanamaker Road, Topeka",39.0128636,-95.7618884
10,McDonald's,"2933 Southwest Wanamaker Road, Topeka",39.01353599999999,-95.76277420000001
11,McDonald's,"5525 Southwest 21st Street, Topeka",39.028822,-95.749259
12,Judees Coffee,"2111 Southwest Chelsea Drive #1756, Topeka",39.02812979999999,-95.7492439
13,The Steam Engine,"5660 Southwest 29th Street, Topeka",39.0150341,-95.7520608
14,Le Petit Bon Bon,"835 Southwest Fairlawn Road, Topeka",39.053254300000006,-95.7437105
15,Starbucks,"5311 Southwest 22nd Place, Topeka",39.02691100000001,-95.74457199999999
16,Classic Bean,"2125 Southwest Fairlawn Road, Topeka",39.02792279999999,-95.7468126
17,PT's at Wheatfield Village,"2811 Southwest Fairlawn Road ste c, Topeka",39.016342200000004,-95.74425809999998
18,McDonald's,"1201 Southwest Gage Boulevard, Topeka",39.0453464,-95.7251899
19,Starbucks,"4015 Southwest 10th Street, Topeka",39.050484000000004,-95.727159
20,Blackbird,"4025 Southwest 10th Avenue, Topeka",39.04985079999999,-95.7271385
21,Baking Traditions,"4036 Southwest Huntoon Street, Topeka",39.044173,-95.7267941
22,Dunkin',"4009 Southwest 21st Street, Topeka",39.0291848,-95.72696280000001
23,Dialogue Coffee House,"4009 Southwest 29th Street, Topeka",39.01443020000001,-95.72779670000001
24,CoffeeHead,"3101 Southwest 29th Street suite b, Topeka",39.0147103,-95.7166267
25,SoulFire Nutrition,"2839 Southwest 29th Street Brookwood Shopping Center, Topeka",39.014050899999994,-95.7139113
26,Study Grounds,"1800 Southwest 19th Street, Topeka",39.033732,-95.70221109999999
27,Paradise Donuts,"1620 Southwest 6th Avenue, Topeka",39.057931200000006,-95.6953878
28,World Cup Espresso,"1501 Southwest 21st Street, Topeka",39.029025,-95.6956861
29,McDonald's,"3117 South Topeka Avenue, Topeka",39.011244700000006,-95.6884495
30,Scooter's Coffee,"2909 Southwest Topeka Boulevard, Topeka",39.0137953,-95.6880586
31,Banjo's Cafe,"5824 Southwest Topeka Boulevard, Topeka",38.961828999999994,-95.68681600000001
32,PrairieFire Coffe Roasters,"536 Northwest Tyler Court, Topeka",39.0807845,-95.6712277
33,McDonald's,"1100 South Kansas Avenue, Topeka",39.04384870000001,-95.6761949
34,Juli's Coffee and Bistro,"110 Southeast 8th Avenue, Topeka",39.0489179,-95.6736364
35,Bwell Market,"600 Southeast Quincy Street, Topeka",39.05082489999999,-95.6715071
36,Classic Bean,"722 South Kansas Avenue, Topeka",39.049313899999994,-95.6738594
37,Hanover Pancake House,"1034 South Kansas Avenue, Topeka",39.0446827,-95.6756686
38,Jayhawk Corner Cafe,"700 SW Jackson St # Lby, Topeka",39.050391,-95.6750451
39,Townsite Cafe & Catering,"120 E. 6th Avenue Suite 3-136, Topeka",39.05235819999999,-95.6714178
40,Nib's House of Coffee,"2525 Northwest Topeka Boulevard, Topeka",39.0931037,-95.6655978
41,Beanheads,"2525 Northwest Topeka Boulevard, Topeka",39.0931037,-95.6655978
42,McDonald's,"2001 N Topeka, Topeka",39.085201,-95.665976
43,Ling's Cafe,"2022 Northwest Topeka Boulevard, Topeka",39.086152199999994,-95.6627236
44,Bradley's Corner Cafe,"844 North Kansas Avenue, Topeka",39.0675381,-95.6663095
45,J&J's Brew & Brew Gallery Bar,"917 North Kansas Avenue, Topeka",39.06830199999999,-95.6663719
46,Onyx Wellness Cafe,"922 North Kansas Avenue, Topeka",39.0684382,-95.6658371
47,McDonald's,"2880 Southeast California Avenue, Topeka",39.01553320000001,-95.6511046
48,Milk & Honey Coffee Co.,"2200 Southeast 29th Street, Topeka",39.01551,-95.6481365
